file,condId,startId,repetition,dry,agentLabel,cmdScale,eeSource,maxDuration,scriptVersion,gitHash,gitDirty,stopReason,converged,nSteps,tEnd,d0List_m,d0_m,final_m,closest_m,success50,settle50_s,pathLen_m,pathEff,overshoot_m,effFactor,loopMedian_ms,kortexResidualRms_m,minHeight_m,anyCap,anySoftLimit,softLimitFrac,softLimitJoints,hwLimitJoints
S10_nom/S10_nom_S05_r02_20260926_153212.mat,S10_nom,S05,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,46,4.500415,0.35296317462955124,0.3530810287150493,0.011562206645325116,0.011562206645325116,True,3.000182,0.3801092369002054,0.9288935770002028,0.0,1.0,100.01300000000002,0.005725628215643244,0.3062040720690846,False,False,0.0,,
S10_nom/S10_nom_S06_r01_20260926_151714.mat,S10_nom,S06,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,75,7.400252,0.3400432964303045,0.34005531698325214,0.016697877506732493,0.016697877506732493,True,4.500517,0.3574383384654003,0.9513677756091327,0.0,1.0,99.99899999999995,0.005706046709431025,0.5536651943422339,False,False,0.0,,
S10_nom/S10_nom_S06_r02_20260926_153152.mat,S10_nom,S06,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,77,7.600171,0.3400432964303045,0.3400542154053577,0.016589747429059994,0.016589747429059994,True,4.400168,0.3591247568120187,0.946897168616411,0.0,1.0,99.99950000000047,0.0057147079941932835,0.5523117713089254,False,False,0.0,,
S10_nom/S10_nom_S07_r01_20260926_151736.mat,S10_nom,S07,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,52,5.100381,0.506776428895993,0.5068382252265529,0.00941776542324974,0.00941776542324974,True,3.600057,0.5847292318326108,0.8667913243161484,0.0,1.0,100.008,0.005658939421392142,0.3765843061373696,False,False,0.0,,
S10_nom/S10_nom_S07_r02_20260926_153127.mat,S10_nom,S07,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,54,5.300209,0.506776428895993,0.5068383970697712,0.00865271485520871,0.00865271485520871,True,3.6001499999999997,0.5890146364809982,0.8604852336061126,0.0,1.0,100.00199999999992,0.0056504299974029825,0.37658598454584513,False,False,0.0,,
S10_nom/S10_nom_S08_r01_20260926_151802.mat,S10_nom,S08,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,103,10.20016,0.47994291474335915,0.48001219481338225,0.013856206743224107,0.013856206743224107,True,4.000217999999999,0.5569477470420391,0.8618621717436453,0.0,1.0,100.0020000000008,0.005864468254149702,0.34916641305486307,False,True,0.33980582524271846,J6,
S10_nom/S10_nom_S08_r02_20260926_153059.mat,S10_nom,S08,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,104,10.30028,0.47994291474335915,0.4800235490567548,0.014034457052293356,0.014034457052293356,True,4.000178,0.5559252492098178,0.8634677948861861,0.0,1.0,99.99800000000025,0.00586277881882645,0.3491636125650741,False,True,0.34615384615384615,J6,
S10_nom/S10_nom_S09_r01_20260926_151828.mat,S10_nom,S09,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,100,9.900452,0.684972171734911,0.6850285661854038,0.015503787959199069,0.015503787959199069,True,6.200226,0.8159462996474119,0.8395510421230165,0.0,1.0,100.00200000000001,0.007548467935800127,0.15718875892085893,False,True,0.45,J6,
S10_nom/S10_nom_S09_r02_20260926_153022.mat,S10_nom,S09,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,102,10.100142,0.684972171734911,0.6850302184413758,0.014879845585337738,0.014879845585337738,True,6.200448000000001,0.8166757578890989,0.8388031747287398,0.0,1.0,100.00799999999987,0.007517619068881617,0.15719268346809612,False,True,0.46078431372549017,J6,
S10_nom/S10_nom_S10_r01_20260926_151854.mat,S10_nom,S10,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,49,4.800163,0.6825196632773128,0.6825654233323456,0.01411632916227633,0.013634257558919904,True,3.400229,0.7960908804803039,0.8573963602252733,0.0,1.0,99.99900000000028,0.005846374681656697,0.24482414226569982,False,False,0.0,,
S10_nom/S10_nom_S10_r02_20260926_152955.mat,S10_nom,S10,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,52,5.100221,0.6825196632773128,0.6825659839314228,0.016977547305001135,0.013274808563824098,True,3.4003870000000003,0.8019607984525516,0.851121383050754,0.0,1.0,99.99899999999995,0.005855372202092651,0.24482575004847207,False,False,0.0,,
S10_nom/S10_nom_S11_r01_20260926_151922.mat,S10_nom,S11,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,89,8.800392,0.8904519223429753,0.8905251576917914,0.00508470024652493,0.00508470024652493,True,7.3004750000000005,1.265973437719439,0.7034311551559953,0.0,1.0,100.01499999999996,0.006169125846143722,0.5629206833568488,False,False,0.0,,
S10_nom/S10_nom_S11_r02_20260926_152934.mat,S10_nom,S11,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,90,8.900247,0.8904519223429753,0.890524684117804,0.0048797594031886,0.0048797594031886,True,7.300242,1.26817778336557,0.702208078235272,0.0,1.0,99.99000000000002,0.006184701472770959,0.5617017805838336,False,False,0.0,,
S10_nom/S10_nom_S12_r01_20260926_152155.mat,S10_nom,S12,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,61,6.000176,0.9186994197755929,0.918792733118946,0.017412882526636798,0.017388138863205158,True,4.6001769999999995,1.1402236219631379,0.805800472311781,0.0,1.0,100.01700000000014,0.005551462853774508,0.2548479552647718,False,True,0.16393442622950818,J6,
S10_nom/S10_nom_S12_r02_20260926_152906.mat,S10_nom,S12,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,61,6.000169,0.9186994197755929,0.918793940671104,0.01744706563510457,0.01744706563510457,True,4.600210000000001,1.1401106267263452,0.8058813935532567,0.0,1.0,100.00199999999981,0.005545735187987362,0.2548475984836054,False,True,0.16393442622950818,J6,
S10_nom/S10_nom_S13_r01_20260926_152248.mat,S10_nom,S13,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,123,12.200165,1.1140442758340379,1.1141341401886473,0.018683200669601777,0.01862803712787176,True,9.800165,1.8203462759642377,0.6120451668452422,0.0,1.0,99.99999999999964,0.006648760988661329,0.5342154418964409,False,True,0.024390243902439025,J6,
S10_nom/S10_nom_S13_r02_20260926_152838.mat,S10_nom,S13,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,123,12.200302,1.1140442758340379,1.1141352258220918,0.019127201040338073,0.019095069429621362,True,9.800171,1.8206508880694634,0.6119433621914583,0.0,1.0,99.99799999999937,0.006670071813715853,0.534479034437934,False,True,0.024390243902439025,J6,
S10_nom/S10_nom_S14_r01_20260926_152316.mat,S10_nom,S14,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,62,6.100181,1.1014747673779932,1.101578089046992,0.00843758631003776,0.00843758631003776,True,4.50017,1.340500630038353,0.8217661852314644,0.0,1.0,100.00000000000009,0.004635293865265723,0.29131798359504035,False,True,0.43548387096774194,J6,
S10_nom/S10_nom_S14_r02_20260926_152758.mat,S10_nom,S14,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,62,6.100166,1.1014747673779932,1.1015722609882364,0.007734496130267523,0.007734496130267523,True,4.5001750000000005,1.3414681037943623,0.8211691786576386,0.0,1.0,100.01499999999996,0.00464770439986223,0.2913239018352177,False,True,0.43548387096774194,J6,
