file,condId,repetition,mode,dry,nCycles,median_ms,mean_ms,p95_ms,gitHash,dur_send_ms,dur_feedback_ms,dur_fk_ms,dur_obs_ms,dur_agent_ms,dur_pipeline_ms,dur_log_ms
M_fb/M_fb_r01_20260926_140536.mat,M_fb,1,send_feedback,False,300,50.01200000000061,49.969515050167225,53.69299999999981,735bcdc,23.780999999999608,26.186000000000043,nan,nan,nan,nan,nan
M_fb/M_fb_r02_20260926_140659.mat,M_fb,2,send_feedback,False,300,49.99200000000048,49.98392642140469,53.55669999999932,735bcdc,23.911500000000004,26.04049999999969,nan,nan,nan,nan,nan
M_fb/M_fb_r03_20260926_140811.mat,M_fb,3,send_feedback,False,300,50.01400000000089,49.95100668896321,53.60220000000079,735bcdc,23.899000000000115,26.080999999999577,nan,nan,nan,nan,nan
M_fk/M_fk_r01_20260926_140602.mat,M_fk,1,send_feedback_fk,False,300,49.98900000000006,49.92665217391305,53.90209999999977,735bcdc,21.138000000000545,26.111499999999623,2.61850000000019,nan,nan,nan,nan
M_fk/M_fk_r02_20260926_140719.mat,M_fk,2,send_feedback_fk,False,300,50.031999999999854,49.98725418060201,53.90899999999981,735bcdc,21.417500000000977,25.991499999999725,2.531500000000353,nan,nan,nan,nan
M_fk/M_fk_r03_20260926_140829.mat,M_fk,3,send_feedback_fk,False,300,50.031999999999854,49.94578260869566,54.03079999999996,735bcdc,21.414000000000932,25.955500000000242,2.5255000000004024,nan,nan,nan,nan
M_full/M_full_r01_20260926_140622.mat,M_full,1,closed_loop_zero,False,300,50.00200000000099,50.62567558528429,53.96470000000007,735bcdc,16.267999999999727,26.045499999999944,2.5300000000001432,0.01699999999971169,4.916999999999838,0.017000000001043958,0.04999999999988347
M_full/M_full_r02_20260926_140739.mat,M_full,2,closed_loop_zero,False,300,50.0070000000008,50.3119364548495,53.88910000000049,735bcdc,16.80550000000003,25.880000000000347,2.5205000000001476,0.015000000001208491,4.55849999999991,0.017000000001488047,0.04999999999993898
M_full/M_full_r03_20260926_140849.mat,M_full,3,closed_loop_zero,False,300,50.00099999999996,50.09645484949832,54.100700000000046,735bcdc,16.492000000000505,26.121000000000727,2.5174999999999503,0.014999999999876223,4.545499999999869,0.012000000001677336,0.047999999999603915
M_send/M_send_r01_20260926_140518.mat,M_send,1,send_only,False,300,25.00800000000014,24.949812709030102,28.872699999999885,735bcdc,24.98250000000013,nan,nan,nan,nan,nan,nan
M_send/M_send_r02_20260926_140638.mat,M_send,2,send_only,False,300,25.009999999999977,24.95802675585284,28.70209999999995,735bcdc,24.98350000000005,nan,nan,nan,nan,nan,nan
M_send/M_send_r03_20260926_140748.mat,M_send,3,send_only,False,300,24.967000000000183,24.935882943143817,28.743400000000058,735bcdc,24.947000000000052,nan,nan,nan,nan,nan,nan
