table,condId,quantity,value,source
setpoint_hw,S10_nom/S06,successes,2,S10_nom/S10_nom_S06_r01_20260926_151714.mat;S10_nom/S10_nom_S06_r02_20260926_153152.mat
setpoint_hw,S10_nom/S06,runs,2,S10_nom/S10_nom_S06_r01_20260926_151714.mat;S10_nom/S10_nom_S06_r02_20260926_153152.mat
setpoint_hw,S10_nom/S05,d0_mm,353.08069762328074,S10_nom/S10_nom_S05_r01_20260926_151652.mat;S10_nom/S10_nom_S05_r02_20260926_153212.mat
setpoint_hw,S10_nom/S05,final_mm_mean,11.078704779758581,S10_nom/S10_nom_S05_r01_20260926_151652.mat;S10_nom/S10_nom_S05_r02_20260926_153212.mat
setpoint_hw,S10_nom/S05,closest_mm_mean,11.078704779758581,S10_nom/S10_nom_S05_r01_20260926_151652.mat;S10_nom/S10_nom_S05_r02_20260926_153212.mat
setpoint_hw,S10_nom/S05,successes,2,S10_nom/S10_nom_S05_r01_20260926_151652.mat;S10_nom/S10_nom_S05_r02_20260926_153212.mat
setpoint_hw,S10_nom/S05,runs,2,S10_nom/S10_nom_S05_r01_20260926_151652.mat;S10_nom/S10_nom_S05_r02_20260926_153212.mat
setpoint_hw,S10_nom/S08,d0_mm,480.0178719350685,S10_nom/S10_nom_S08_r01_20260926_151802.mat;S10_nom/S10_nom_S08_r02_20260926_153059.mat
setpoint_hw,S10_nom/S08,final_mm_mean,13.94533189775873,S10_nom/S10_nom_S08_r01_20260926_151802.mat;S10_nom/S10_nom_S08_r02_20260926_153059.mat
setpoint_hw,S10_nom/S08,closest_mm_mean,13.94533189775873,S10_nom/S10_nom_S08_r01_20260926_151802.mat;S10_nom/S10_nom_S08_r02_20260926_153059.mat
setpoint_hw,S10_nom/S08,successes,2,S10_nom/S10_nom_S08_r01_20260926_151802.mat;S10_nom/S10_nom_S08_r02_20260926_153059.mat
setpoint_hw,S10_nom/S08,runs,2,S10_nom/S10_nom_S08_r01_20260926_151802.mat;S10_nom/S10_nom_S08_r02_20260926_153059.mat
setpoint_hw,S10_nom/S07,d0_mm,506.838311148162,S10_nom/S10_nom_S07_r01_20260926_151736.mat;S10_nom/S10_nom_S07_r02_20260926_153127.mat
setpoint_hw,S10_nom/S07,final_mm_mean,9.035240139229225,S10_nom/S10_nom_S07_r01_20260926_151736.mat;S10_nom/S10_nom_S07_r02_20260926_153127.mat
setpoint_hw,S10_nom/S07,closest_mm_mean,9.035240139229225,S10_nom/S10_nom_S07_r01_20260926_151736.mat;S10_nom/S10_nom_S07_r02_20260926_153127.mat
setpoint_hw,S10_nom/S07,successes,2,S10_nom/S10_nom_S07_r01_20260926_151736.mat;S10_nom/S10_nom_S07_r02_20260926_153127.mat
setpoint_hw,S10_nom/S07,runs,2,S10_nom/S10_nom_S07_r01_20260926_151736.mat;S10_nom/S10_nom_S07_r02_20260926_153127.mat
setpoint_hw,S10_nom/S10,d0_mm,682.5657036318842,S10_nom/S10_nom_S10_r01_20260926_151854.mat;S10_nom/S10_nom_S10_r02_20260926_152955.mat
setpoint_hw,S10_nom/S10,final_mm_mean,15.546938233638732,S10_nom/S10_nom_S10_r01_20260926_151854.mat;S10_nom/S10_nom_S10_r02_20260926_152955.mat
setpoint_hw,S10_nom/S10,closest_mm_mean,13.454533061372,S10_nom/S10_nom_S10_r01_20260926_151854.mat;S10_nom/S10_nom_S10_r02_20260926_152955.mat
setpoint_hw,S10_nom/S10,successes,2,S10_nom/S10_nom_S10_r01_20260926_151854.mat;S10_nom/S10_nom_S10_r02_20260926_152955.mat
setpoint_hw,S10_nom/S10,runs,2,S10_nom/S10_nom_S10_r01_20260926_151854.mat;S10_nom/S10_nom_S10_r02_20260926_152955.mat
