file,condId,repetition,dry,agentLabel,agentSampleTime,rateHz,pathDuration,cmdScale,effFactor,referenceTiming,scriptVersion,gitHash,gitDirty,stopReason,completed,nSteps,tEnd,rms,rms_first,max,loopMean_ms,loopMedian_ms,anyCap,anySoftLimit,dur_feedback_ms,dur_fk_ms,dur_obs_ms,dur_agent_ms,dur_pipeline_ms,dur_send_ms,dur_log_ms,dur_wait_ms
R0_v23_repro/R0_v23_repro_r01_20260926_141207.mat,R0_v23_repro,1,False,PPO 10 Hz,0.1,10.0,17.0,0.35,0.35,wall,V2.4,4388ebb,False,completed,True,169,16.928191,0.058395675692224515,0.021695036812458265,0.16895967029112205,100.76223809523813,100.00050000000016,False,False,20.51599999999887,2.500000000000391,0.058000000001001695,4.4480000000000075,0.07699999999921658,16.901999999999973,0.4399999999993298,54.845000000000255
R0_v23_repro/R0_v23_repro_r02_20260926_141454.mat,R0_v23_repro,2,False,PPO 10 Hz,0.1,10.0,17.0,0.35,0.35,wall,V2.4,4388ebb,False,completed,True,170,16.945752,0.05930153667487319,0.02201959804194667,0.16998431538128356,100.26692899408282,100.00199999999992,False,False,24.849999999999817,2.682499999999699,0.06299999999903605,4.5999999999999375,0.07599999999996498,16.155999999999615,0.45800000000006946,50.784500000000236
T10_nom/T10_nom_r01_20260926_141757.mat,T10_nom,1,False,PPO 10 Hz,0.1,10.0,8.5,1.0,1.0,wall,V2.4,4388ebb,False,completed,True,85,8.403366,0.053420716702625146,0.009562384551180289,0.15835339540022964,100.03909523809523,100.00049999999987,False,False,21.35700000000007,2.6119999999996146,0.064000000000064,4.867000000000843,0.07800000000024454,16.137999999999764,0.4719999999998059,54.246000000000016
T10_nom/T10_nom_r02_20260926_141904.mat,T10_nom,2,False,PPO 10 Hz,0.1,10.0,8.5,1.0,1.0,wall,V2.4,4388ebb,False,completed,True,86,8.499826,0.05546303342401965,0.009588886355914398,0.16298920494492525,99.99759999999999,99.99499999999983,False,False,14.978000000000158,2.6679999999998927,0.06250000000074252,4.541499999999976,0.07599999999996498,16.271499999999996,0.4574999999999996,60.76349999999997
T10_nom/T10_nom_r03_20260926_142016.mat,T10_nom,3,False,PPO 10 Hz,0.1,10.0,8.5,1.0,1.0,wall,V2.4,4388ebb,False,completed,True,85,8.400168,0.053531977149566486,0.00983210504445814,0.1583136243065555,100.00192857142858,99.9985000000001,False,False,4.639999999999311,2.5409999999999044,0.06100000000053285,4.80700000000045,0.07900000000016227,16.155999999999615,0.4669999999999952,71.01099999999994
T10_nom/T10_nom_r04_20260926_142120.mat,T10_nom,4,False,PPO 10 Hz,0.1,10.0,8.5,1.0,1.0,wall,V2.4,4388ebb,False,completed,True,85,8.40026,0.05242653744027335,0.008694852168178677,0.15700756916570802,100.00298809523808,99.99949999999957,False,False,4.129999999999967,2.4769999999998404,0.04999999999988347,4.5839999999999215,0.07099999999993223,16.83900000000005,0.4460000000001685,71.36099999999956
T10_nom/T10_nom_r05_20260926_142400.mat,T10_nom,5,False,PPO 10 Hz,0.1,10.0,8.5,1.0,1.0,wall,V2.4,4388ebb,False,completed,True,85,8.400136,0.052504436299640606,0.010143824386938076,0.15597197805141672,100.00155952380953,99.99950000000013,False,False,25.592000000000503,2.673999999999843,0.053999999999554404,4.564999999999486,0.0700000000000145,16.01800000000031,0.4550000000000942,50.066000000000166
T40_cdr_nom/T40_cdr_nom_r01_20260926_141831.mat,T40_cdr_nom,1,False,CDR2-4 40 Hz,0.025,40.0,8.5,1.0,1.0,wall,V2.4,4388ebb,False,completed,True,170,8.472621,0.05377815598550439,0.015445679392607702,0.15570722519232685,50.133538461538464,50.14699999999994,False,False,25.050499999999865,2.593999999999874,0.06299999999992423,4.4570000000001,0.0749999999998252,16.741499999999743,0.4409999999994696,0.41000000000002146
T40_cdr_nom/T40_cdr_nom_r02_20260926_141934.mat,T40_cdr_nom,2,False,CDR2-4 40 Hz,0.025,40.0,8.5,1.0,1.0,wall,V2.4,4388ebb,False,completed,True,170,8.476349,0.05338924690883145,0.014995838276232843,0.1550118634758645,50.15586982248521,49.94500000000013,False,False,25.236000000000036,2.6725000000000723,0.064000000000064,4.586000000000201,0.07599999999996498,16.30850000000006,0.43099999999984817,0.4240000000006461
T40_cdr_nom/T40_cdr_nom_r03_20260926_142047.mat,T40_cdr_nom,3,False,CDR2-4 40 Hz,0.025,40.0,8.5,1.0,1.0,wall,V2.4,4388ebb,False,completed,True,170,8.475966,0.053682339498824394,0.015049310286266692,0.1556359751595234,50.153609467455624,50.049999999999706,False,False,25.208999999999705,2.67799999999907,0.059000000000253294,4.558000000000062,0.07100000000015427,16.32800000000007,0.4305000000000003,0.436000000000325
T40_cdr_nom/T40_cdr_nom_r04_20260926_142159.mat,T40_cdr_nom,4,False,CDR2-4 40 Hz,0.025,40.0,8.5,1.0,1.0,wall,V2.4,4388ebb,False,completed,True,170,8.454541,0.05288711224759856,0.014227632183332485,0.15377255110992125,50.026822485207106,50.00800000000005,False,False,25.28599999999992,2.814499999999942,0.05499999999969418,4.481500000000027,0.06799999999995698,16.25700000000019,0.4309999999999592,0.45149999999993806
T40_cdr_nom/T40_cdr_nom_r05_20260926_142228.mat,T40_cdr_nom,5,False,CDR2-4 40 Hz,0.025,40.0,8.5,1.0,1.0,wall,V2.4,4388ebb,False,completed,True,170,8.454541,0.05290826753937943,0.014268265015214814,0.1538957545298804,50.02676331360948,50.07800000000007,False,False,25.20050000000007,2.4925000000000086,0.05100000000002325,4.589999999999872,0.0700000000000145,16.452500000000093,0.4454999999996545,0.4635000000001721
T40_ppo_nom/T40_ppo_nom_r01_20260926_142752.mat,T40_ppo_nom,1,False,PPO 40 Hz (Basis),0.025,40.0,8.5,1.0,1.0,wall,V2.4,4388ebb,False,completed,True,170,8.475757,0.023839572647402933,0.020608961486594034,0.04431634451675966,50.15236094674557,49.914000000000236,False,False,25.170500000000207,2.5680000000000147,0.05499999999995786,4.573499999999786,0.0700000000000145,16.62849999999949,0.44250000000012335,0.3724999999992207
