label,pose,timeScale,RMS_EE_m,Max_EE_m,RMS_J1,RMS_J2,RMS_J3,RMS_J4,RMS_J5,RMS_J6,RMS_J7
kin_baseline_training,training,1,0.347798994003679,0.634543246749588,4.17756585308606e-05,152.258508887407,2.70701804232962e-05,54.1103213287055,4.54401557600797e-05,0.16935667022749,8.70728192761309e-05
kin_slow_training,training,2,0.00132076325361964,0.0023742833760148,1.51465080001088e-05,151.005837098722,2.04985302024958e-05,0.245305273129852,5.64684908410099e-05,0.0955667214191721,4.66261342080224e-05
kin_fast_training,training,0.75,0.483521693768376,0.878463656647053,257.157904065082,153.939622451768,5.15868363984134e-05,91.4130120802175,43.5923332563841,0.226129070242618,7.50987837541448e-05
kin_baseline_training,alt,1,0.00219615069645206,0.00560124860673175,3.08292172027109e-05,0.229303832651564,7.53846334040552e-05,248.906571107472,6.85588163039641e-05,0.172181438275304,3.57731051955538e-05
kin_slow_training,alt,2,0.00137356795038336,0.00284542125358378,2.48443188962127e-05,0.106462944679582,3.30523902022633e-06,0.201850527971973,0,0.0623308927608772,0
kin_fast_training,alt,0.75,0.0132302934365625,0.0532921364605982,2.7899428397082e-05,0.297289418764003,1.9554057745873e-05,287.247234695753,2.93776070074693e-05,4.56130525042785,0
