set,start,level_m,agent,model,base_mass,noise,explore,seed,d0,final_err,min_err,t_end,converged,failed,success50,settle_t,frac_softzone_J2,frac_softzone_J4,frac_softzone_J6,qmax_deg_J2,qmax_deg_J4,qmax_deg_J6,frac_atlim,frac_beyond_hw,ori_max,ret
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,16,1.42565007995499,0.036871010657717,0.00743542135620142,25,0,0,1,12.3,0,0,0,90,91.3536198788994,48.9139879123065,0,0,0.0573496775729476,-6831.17647261446
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,17,1.42565007995499,0.0301502249555251,0.0198683033561478,25,0,0,1,20.34,0,0,0,90,83.6637711082929,20.99968491449,0.113509192645883,0,0.0576208761604925,-8446.25834017685
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,18,1.42565007995499,0.0122736592676432,0.0101584745474223,25,0,0,1,15.58,0,0,0,90,85.3375044427749,42.2094289165669,0.212629896083133,0,0.0603241259420921,-6723.77221180244
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,19,1.42565007995499,0.0295676522409936,0.0111792721635608,25,0,0,1,16.08,0,0,0,90,87.1844536860696,45.4480072800953,0,0,0.0571688711766521,-7713.71129370552
tab7_stoch_650kg,OOD,NaN,rand2,SK_point,650,0,1,20,1.42565007995499,0.0318465363339453,0.0139622537140752,25,0,0,1,15,0,0,0,90,90.49626795115,60.6802809818113,0,0,0.0590006163976329,-7923.47384076132
fixed1_train,S00,NaN,fixed1,SK_point_fixed,65,0,0,0,0.20360400420598,0.0222856148373613,0.0222856148373613,25,0,0,1,2.6,0,0,0.577138289368505,24.8067708007251,130,115.164516821295,0.502797761790568,0,0,550.694432240671
fixed1_noise,S00,NaN,fixed1,SK_point_fixed,65,1,0,1,0.20360400420598,0.0221846398177146,0.0221711169815705,25,0,0,1,2.66,0,0,0.577138289368505,24.8074258951808,130,115.164516821295,0.502797761790568,0,0,534.876360174104
fixed1_train,S01,0.1,fixed1,SK_point_fixed,65,0,0,0,0.115013021741164,0.0182422136067715,0.0182422136067715,3.9,1,0,1,2.06,0,0,0,7.63675101613677,126.99,66.3271670137129,0,0,0,2997.02964310815
fixed1_noise,S01,0.1,fixed1,SK_point_fixed,65,1,0,2,0.115013021741164,0.0188807747011675,0.0188807747011675,4.1,1,0,1,2.08,0,0,0,7.74260275048165,126.99,66.9098305530104,0,0,0,3001.03345641206
fixed1_train,S02,0.1,fixed1,SK_point_fixed,65,0,0,0,0.102151533089852,0.0167644997943144,0.0167644997943144,2.7,1,0,1,1.48,0,0,0,5.70372126196628,119.85,59.4349413243351,0,0,0,2998.44220277939
fixed1_noise,S02,0.1,fixed1,SK_point_fixed,65,1,0,3,0.102151533089852,0.0174603298108899,0.0174603298108899,2.7,1,0,1,1.5,0,0,0,5.51618389387436,119.85,59.3233005796709,0,0,0,2996.6195778648
fixed1_train,S03,0.2,fixed1,SK_point_fixed,65,0,0,0,0.191974081337423,0.0180669055569219,0.0180669055569219,3.8,1,0,1,2.32,0,0,0,16.68,115.63,60.4693800389111,0,0,0,2930.41672217581
fixed1_noise,S03,0.2,fixed1,SK_point_fixed,65,1,0,4,0.191974081337423,0.0185087872557445,0.0185087872557445,3.9,1,0,1,2.3,0,0,0,16.68,115.63,60.8752409980274,0,0,0,2935.32887309204
fixed1_train,S04,0.2,fixed1,SK_point_fixed,65,0,0,0,0.223361666563653,0.0217337873359456,0.020688322953859,25,0,0,1,3.32,0,0,0.564348521183054,24.9197480785265,110.59,115.164516821295,0.491606714628297,0,0,501.690141004694
fixed1_noise,S04,0.2,fixed1,SK_point_fixed,65,1,0,5,0.223361666563653,0.0215966952681886,0.021012966437093,25,0,0,1,3.4,0,0,0.563549160671463,24.9727934892941,110.59,115.164516821295,0.490807354116707,0,0,490.260638147585
fixed1_train,S05,0.35,fixed1,SK_point_fixed,65,0,0,0,0.352958034212303,0.016902105912361,0.016902105912361,4.1,1,0,1,3.06,0,0,0,35.12,110.335023827984,66.6151197359173,0,0,0,2757.42218333937
fixed1_noise,S05,0.35,fixed1,SK_point_fixed,65,1,0,6,0.352958034212303,0.0172371437188784,0.0172371437188784,4.1,1,0,1,3.06,0,0,0,35.12,110.449187063116,66.5932632899173,0,0,0,2756.54804743944
fixed1_train,S06,0.35,fixed1,SK_point_fixed,65,0,0,0,0.340049671453847,0.0184891975364558,0.0184891975364558,7.1,1,0,1,4.38,0,0,0,10.4868161904631,119.19,69.9137912763003,0,0,0,2767.81886234655
fixed1_noise,S06,0.35,fixed1,SK_point_fixed,65,1,0,7,0.340049671453847,0.0189462490094154,0.0189462490094154,6.9,1,0,1,4.5,0,0,0,10.3221101611918,119.19,68.7592274414781,0,0,0,2753.45330239359
fixed1_train,S07,0.5,fixed1,SK_point_fixed,65,0,0,0,0.506770613211831,0.015837969147698,0.015837969147698,4.8,1,0,1,3.66,0,0,0,30.28,107.205346639129,67.4575634415216,0,0,0,2595.27357114848
fixed1_noise,S07,0.5,fixed1,SK_point_fixed,65,1,0,8,0.506770613211831,0.0165227250558207,0.0165227250558207,4.7,1,0,1,3.62,0,0,0,30.28,107.128614704067,66.9474272659125,0,0,0,2591.20698957517
fixed1_train,S08,0.5,fixed1,SK_point_fixed,65,0,0,0,0.479926924561044,0.0185964466913153,0.0185964466913153,9.9,1,0,1,4,0,0,0.328629032258065,31.85,120.26,115.164516821295,0.181451612903226,0,0,2688.22023323753
fixed1_noise,S08,0.5,fixed1,SK_point_fixed,65,1,0,9,0.479926924561044,0.0182041872627382,0.0182041872627382,9.9,1,0,1,4.1,0,0,0.326612903225806,31.85,120.26,115.164516821295,0.17741935483871,0,0,2677.70671821082
fixed1_train,S09,0.7,fixed1,SK_point_fixed,65,0,0,0,0.684969470110724,0.0190237961356782,0.0190237961356782,9.3,1,0,1,6.82,0,0,0.429184549356223,56.23,127.26,115.164516821295,0.296137339055794,0,0,2241.54528496336
fixed1_noise,S09,0.7,fixed1,SK_point_fixed,65,1,0,10,0.684969470110724,0.0182442164374802,0.0182442164374802,9.4,1,0,1,6.84,0,0,0.43312101910828,56.23,127.26,115.164516821295,0.301486199575372,0,0,2237.70439896858
