episode,reward,avg_reward,q0,steps
1,-118.028019033175,-118.028019033175,1.27053808682831e-05,42
2,-124.466499974636,-121.247259503906,1.27053808682831e-05,53
3,-38.3321585357731,-93.6088925145282,1.27053808682831e-05,85
4,-85.4103529100102,-91.5592576133987,1.27053808682831e-05,85
5,-55.8375939034791,-84.4149248714148,1.27053808682831e-05,85
6,-88.4786978818376,-85.0922203731519,1.27053808682831e-05,85
7,-87.9602085585116,-85.5019329710604,1.27053808682831e-05,85
8,9.49658355194875,-73.6271184056843,1.27053808682831e-05,85
9,-165.139081675565,-83.79511432456,1.27053808682831e-05,85
10,3.90370557359897,-75.0252323347441,1.27053808682831e-05,85
11,-73.1128915871249,-74.8513831758696,1.27053808682831e-05,85
12,-82.9200018889162,-75.5237680686235,1.27053808682831e-05,85
13,-26.5297991809172,-71.7550012311076,1.27053808682831e-05,85
14,-65.9660260363523,-71.3415030029108,1.27053808682831e-05,85
15,-141.048033628954,-75.988605044647,1.27053808682831e-05,85
16,-210.45655773815,-84.392852087991,1.27053808682831e-05,85
17,-85.1859865253547,-84.4395070548947,1.27053808682831e-05,54
18,-101.169004328043,-85.3689235700696,1.27053808682831e-05,85
19,-131.644608272899,-87.8044859228501,1.27053808682831e-05,85
20,-48.4185280653415,-85.8351880299747,1.27053808682831e-05,85
21,-126.189708768121,-87.7568318746483,1.27053808682831e-05,77
22,-69.3144919842011,-86.9185436978098,1.27053808682831e-05,85
23,-141.948455294714,-89.3111485498491,1.27053808682831e-05,85
24,11.9140237187808,-85.0934330386562,1.27053808682831e-05,85
25,-162.971431492789,-88.2085529768215,1.27053808682831e-05,85
26,-62.2774788984091,-85.9785313714308,-17.5867252349854,85
27,-179.682763216662,-88.1871819011119,-17.5867252349854,85
28,-108.022162348969,-90.9747820536397,-17.5867252349854,85
29,-63.4175931105302,-90.0950716616605,-17.5867252349854,85
30,-95.9338021660968,-91.6989199921652,-17.5867252349854,85
31,-94.7808083001881,-91.9510044088992,-17.5867252349854,85
32,-63.1715104931748,-90.9594564862858,-17.5867252349854,85
33,-113.057108663586,-95.8616041749072,-17.5867252349854,85
34,-80.8976882701745,-92.4919484386915,-17.5867252349854,85
35,-79.7650115548657,-95.8386971238301,-17.5867252349854,85
36,-80.3423109206081,-96.1278738971695,-17.5867252349854,57
37,-95.5048500918848,-96.6312678252882,-17.5867252349854,85
38,-92.3416405700712,-99.2637414808544,-17.5867252349854,57
39,-95.767784540368,-100.455811821015,-17.5867252349854,43
40,-118.701637902229,-99.561955991946,-17.5867252349854,85
41,-102.949227046921,-95.2616627642968,-17.5867252349854,51
42,-163.301968258343,-98.3863020336163,-17.5867252349854,85
43,-110.47520708576,-98.758550143925,-17.5867252349854,43
44,-144.623070231749,-99.277688622279,-17.5867252349854,85
45,-229.129356649518,-106.506121765646,-17.5867252349854,85
46,-63.8493794251982,-104.012508591929,-17.5867252349854,85
47,-57.2900306088117,-103.531530136914,-17.5867252349854,85
48,-97.4525460630755,-101.751693767648,-17.5867252349854,85
49,-60.4657571634267,-104.646885002936,-17.5867252349854,85
50,-40.382500039213,-99.7433277447933,-17.5867252349854,85
51,-74.1712820030775,-100.21907986898,-17.5867252349854,85
52,-125.9852402427,-98.0711789500216,-28.5798683166504,85
53,-67.4001358707194,-96.4462978908916,-28.5798683166504,85
54,-88.7241805141351,-97.4585613870358,-28.5798683166504,85
55,-92.4388009505859,-97.3187613384153,-28.5798683166504,85
56,-189.101231826811,-101.09157827948,-28.5798683166504,85
57,-147.885180442585,-104.480125077457,-28.5798683166504,85
58,-54.3810814834579,-102.133083990252,-28.5798683166504,85
59,-60.0756940158923,-101.30020422008,-28.5798683166504,85
60,-253.244435222378,-108.239381166781,-28.5798683166504,85
61,-41.6492682972725,-106.691659461847,-28.5798683166504,85
62,-98.6828130815712,-106.818777981435,-28.5798683166504,85
