set,n,success50,converged,failed,final_err_median,final_err_max,settle_t_mean,share_J6_softzone_gt50pct,share_beyond_hw
fixed1_free65,15,0.8,0.266666666666667,0,0.0245193851982108,0.131133059321691,8.23333333333333,0.666666666666667,0
fixed1_noise,15,1,0.866666666666667,0,0.0182041872627382,0.0221846398177146,4.22533333333333,0.133333333333333,0
fixed1_train,15,1,0.866666666666667,0,0.0182422136067715,0.0222856148373613,4.20666666666667,0.133333333333333,0
rand2_free65,15,0.2,0,0,0.0722755070884258,0.13382466127699,16.4133333333333,0.0666666666666667,0
rand2_free650,15,0.133333333333333,0,0,0.0670236177132761,0.0743750659431704,19.61,0.0666666666666667,0
tab7_stoch_650kg,20,0.75,0,0,0.0337436418211215,0.0627084696020667,16.364,0,0
tab7_stoch_65kg,20,0,0,0,0.192471769765067,0.230919506653808,NaN,0,0
