level,step_ms,rms_ee,max_ee,ori_max,rms_diff_to_hw
sim_free,165,0.0657741989723007,0.194739722603922,0.017685163464086,0.0163998539571786
sim_fixed,165,0.0547976919097162,0.161809610017149,2.12099074683796e-09,0.00363132111065411
sim_free,175,0.06517949039623,0.193219791163789,0.0182369627049669,0.0157414389975407
sim_fixed,175,0.0543003623485982,0.160034498588534,2.18749720731049e-09,0.00450422101214785
hardware_074_078,174,0.0527135320414502,0.156478319155863,NaN,NaN
