cond,seed,agent,explore,K1_mse,K2_max,K3_ori_mean,K7_return,completed,stop_reason
mirrored,1,Trajectory,1,0.0808039341829399,0.370250750222052,0.0088934192368044,186.73680430096,1,none
mirrored,2,Trajectory,1,0.0802306064810748,0.369399769341638,0.00912888370591346,190.457104739003,1,none
mirrored,3,Trajectory,1,0.0806662856675269,0.369770664515499,0.00902762969353196,187.758289857037,1,none
mirrored,4,Trajectory,1,0.0810141078616687,0.37017652459065,0.00894623156869521,184.215588483245,1,none
mirrored,5,Trajectory,1,0.0811018213632351,0.370843022097992,0.00896820532217542,179.599486852922,1,none
mirrored,6,Trajectory,1,0.0808746097491577,0.37009360742818,0.00902625974128979,182.211994337172,1,none
mirrored,7,Trajectory,1,0.080571810676104,0.369619607062755,0.00904397117403515,188.278574824024,1,none
mirrored,8,Trajectory,1,0.0810512229399246,0.370554357556594,0.00894775922771627,184.107523501576,1,none
mirrored,9,Trajectory,1,0.0810935407961965,0.370442008698978,0.00901659924019675,180.752796937079,1,none
mirrored,10,Trajectory,1,0.0806065803094055,0.369477644082258,0.00925001929906367,188.028194668007,1,none
delay2,0,Trajectory,0,0.00680058634158909,0.227831749625506,0.00434748930845275,1398.09114530043,1,none
delay2,1,Trajectory,1,0.00683519601821015,0.228444614324967,0.00432727720220984,1376.18560171155,1,none
delay2,2,Trajectory,1,0.00676577960473458,0.227708787400471,0.00444122734845917,1393.47985242228,1,none
delay2,3,Trajectory,1,0.00680788707700595,0.227964273682649,0.0043117665136124,1366.30042625581,1,none
delay2,4,Trajectory,1,0.00681443692402553,0.227829072185319,0.00436821275338595,1397.29408317742,1,none
delay2,5,Trajectory,1,0.00682362472620714,0.228197040969628,0.00423040703695816,1398.2521942837,1,none
delay2,6,Trajectory,1,0.00682132494737273,0.228012105260665,0.00434262274541067,1386.12973473665,1,none
delay2,7,Trajectory,1,0.00677262435500286,0.22756341391838,0.00436939997882313,1395.61785675023,1,none
delay2,8,Trajectory,1,0.00682112217927485,0.22817736413855,0.00433884008047039,1395.42723495771,1,none
delay2,9,Trajectory,1,0.00679437834808673,0.227813831088683,0.00438640358093757,1382.3469715182,1,none
delay2,10,Trajectory,1,0.00676429913407177,0.227425164960677,0.00443744281741072,1384.59170354283,1,none
damp2,0,Trajectory,0,0.00680629580316678,0.227700057862863,0.00419558657068953,1440.247836888,1,none
damp2,1,Trajectory,1,0.0068162610310675,0.228153355732717,0.00420573669695455,1440.59407607438,1,none
damp2,2,Trajectory,1,0.00676902779463668,0.22767084681436,0.0042741169687816,1444.65369701357,1,none
damp2,3,Trajectory,1,0.00678196597308142,0.227762686616492,0.00420433404693151,1441.85634096469,1,none
damp2,4,Trajectory,1,0.00681137482164739,0.227752421809245,0.00424146347293296,1437.53762847685,1,none
damp2,5,Trajectory,1,0.00683826459077998,0.228107643882051,0.00407847050554166,1437.3255845223,1,none
damp2,6,Trajectory,1,0.00681333763826277,0.227741257777522,0.00418307284110118,1440.51848116621,1,none
damp2,7,Trajectory,1,0.00676406862112941,0.227474340476939,0.00424703130373666,1444.81415756649,1,none
damp2,8,Trajectory,1,0.00683358539791248,0.228093877279449,0.00418318687322287,1437.50592580486,1,none
damp2,9,Trajectory,1,0.00679566474637793,0.22770225992106,0.00424211639180674,1440.67528542347,1,none
damp2,10,Trajectory,1,0.00676044745838713,0.227180965278854,0.00431394435029001,1441.94208218915,1,none
nominal,0,Trajectory2,0,0.00305321517519549,0.158242821868592,0.0104659846764615,1393.3362752341,1,none
