agent,third,t_from,t_to,a_raw_J2,cmd_J2_radps,q_J2_min_deg,q_J2_max_deg,a_raw_J4,cmd_J4_radps,q_J4_min_deg,q_J4_max_deg,a_raw_J6,cmd_J6_radps,q_J6_min_deg,q_J6_max_deg
Optimized,1,0,2.83333333333333,-0.119491872737151,-0.10117666138349,-16.2383332522282,0.201145046155871,0.451365598983932,0.330657739246353,0,53.153967992164,0.023779430886702,0.00386041326681363,0,5.00579542629511
Optimized,2,2.83333333333333,5.66666666666667,-0.103169136672421,-0.1087228867255,-33.9647129009262,-16.2697574512708,0.248979427250086,0.270723708482192,53.2474307402291,97.4191890051368,-0.603517809800342,-0.0985625205686412,-15.122525930196,0.839520482658277
Optimized,3,5.66666666666667,8.5,-0.0259138136257605,-0.0373096079331917,-40.1868423542577,-33.987002207226,0.0698122031176912,0.100783814135999,97.475871366817,114.239028537044,-0.666504162445403,-0.0999956687941829,-31.3651193375467,-15.1511659606349
CDR2-4,1,0,2.83333333333333,-0.112973081111385,-0.0950312496653368,-15.2317805040022,0.870636335420545,0.49335112239708,0.35432883654254,0,56.9931282063768,-0.540716286291156,-0.083381454899398,-13.3585363876455,0
CDR2-4,2,2.83333333333333,5.66666666666667,-0.0952176504100846,-0.101487792350876,-31.7966332637881,-15.2635762340873,0.254902272889044,0.277368483310108,57.0895428230879,102.348521648848,-0.676459644220572,-0.0999516001274469,-29.5932957869343,-13.3870972091082
CDR2-4,3,5.66666666666667,8.5,-0.0226057298111795,-0.0347912324687239,-37.6235463342449,-31.8179422643794,0.0679708561439296,0.100726380643857,102.406860126683,119.18457629075,-0.722046767410479,-0.0999998541684806,-45.8366236868871,-29.6219434120683
PPO_base,1,0,2.83333333333333,-0.090663558280651,-0.0727330528517634,-11.5948987711232,0.909786202248479,0.403810359145466,0.318747833626473,0,51.1269562869221,-0.733833837110484,-0.0821956111739557,-13.1649540881108,0
PPO_base,2,2.83333333333333,5.66666666666667,-0.165429914699851,-0.143180696717204,-34.7197865284637,-11.6262395852732,0.288034646846024,0.330299398852714,51.2295232406278,104.896412761163,-0.507549592821274,-0.0977155471985928,-29.0501370659731,-13.1935083214288
PPO_base,3,5.66666666666667,8.5,-0.132267237760396,-0.207246666756225,-68.445779952991,-34.7647029682874,0.0585736634307786,0.129343200803645,104.986873395438,127.447287449849,-0.91742576946292,-0.0989866581828374,-45.1156588967307,-29.0769461663096
