episode,reward,avg_reward,q0,steps
1,-110.749773012669,-110.749773012669,1.49475072248606e-05,40
2,-134.663616602477,-122.706694807573,1.49475072248606e-05,55
3,-47.6897154437536,-97.7010350196333,1.49475072248606e-05,85
4,-91.6042271716797,-96.1768330576449,1.49475072248606e-05,85
5,-58.2380927650813,-88.5890849991321,1.49475072248606e-05,85
6,7.39811504330059,-72.5912183253933,1.49475072248606e-05,85
7,-100.29075227037,-76.5482946032471,1.49475072248606e-05,85
8,-83.0562565546134,-77.3617898471679,1.49475072248606e-05,85
9,-41.0910119903042,-73.3317034186275,1.49475072248606e-05,85
10,-35.8019248987398,-69.5787255666387,1.49475072248606e-05,85
11,-146.849863259021,-76.6033744477644,1.49475072248606e-05,70
12,-76.8262731566765,-76.6219493401737,1.49475072248606e-05,85
13,-63.9566369511907,-75.6476945410212,1.49475072248606e-05,85
14,-31.908818119509,-72.5234890823417,1.49475072248606e-05,85
15,-81.4058895160015,-73.1156491112524,1.49475072248606e-05,85
16,-225.003113030092,-82.6086156061799,1.49475072248606e-05,85
17,-108.052262134753,-84.105300696096,1.49475072248606e-05,60
18,-49.5303275972836,-82.1844688572731,1.49475072248606e-05,85
19,-84.4177240566377,-82.302008604608,1.49475072248606e-05,85
20,-138.666592015356,-85.1202377751455,1.49475072248606e-05,85
21,-142.86069395011,-87.8697833072866,1.49475072248606e-05,85
22,-78.3151181141037,-87.4354803439601,1.49475072248606e-05,85
23,-53.1548069309967,-85.945016282527,1.49475072248606e-05,85
24,4.20013534009368,-82.1889682982511,1.49475072248606e-05,85
25,-34.1238785707454,-80.2663647091509,1.49475072248606e-05,85
26,-189.599314172182,-83.4203463555314,-16.3879528045654,85
27,-200.560874682707,-86.0562366787406,-16.3879528045654,85
28,-181.655480081965,-91.414867264269,-16.3879528045654,85
29,-105.947916897218,-91.9886148532906,-16.3879528045654,85
30,-91.051965139266,-93.301169748258,-16.3879528045654,85
31,-66.6358720722662,-96.2625292328806,-16.3879528045654,85
32,-64.3864686651227,-94.8263578886708,-16.3879528045654,85
33,-77.5968690392038,-94.6079823880544,-16.3879528045654,85
34,-128.890745287969,-98.119971719961,-16.3879528045654,85
35,-65.0910889675946,-99.2915382827152,-16.3879528045654,85
36,-83.5294488439494,-96.7587217061123,-16.3879528045654,40
37,-73.0866122564199,-96.609135270102,-16.3879528045654,85
38,-87.7032691647892,-97.5590005586459,-16.3879528045654,56
39,-80.8012155388078,-99.5146964554179,-16.3879528045654,57
40,-119.661359018422,-101.044915235515,-16.3879528045654,85
41,-106.599933383934,-96.3087880496684,-16.3879528045654,47
42,-61.4277783937929,-94.4438087000299,-16.3879528045654,85
43,-111.793906812396,-96.9343518686344,-16.3879528045654,43
44,-292.309532002308,-105.250024186461,-16.3879528045654,85
45,-143.372256962262,-105.438250784338,-16.3879528045654,85
46,-102.142821286919,-103.80953587781,-16.3879528045654,85
47,-56.6775832710148,-102.944034484086,-16.3879528045654,85
48,-90.3302064477142,-104.431050464755,-16.3879528045654,85
49,-48.2247190343237,-106.528044639732,-16.3879528045654,85
50,-38.2795836842502,-106.694272844272,-16.3879528045654,85
51,-53.6979654345882,-101.258218894768,-16.3879528045654,85
52,-57.1715202416773,-95.5226447171269,-28.6849403381348,85
53,-159.312762126157,-94.6289359988946,-28.6849403381348,85
54,-76.4081884805423,-93.4473468622276,-28.6849403381348,85
55,-121.639332442736,-94.6708415543664,-28.6849403381348,85
56,-133.657208455793,-97.3516950097074,-28.6849403381348,60
57,-2.83488393901502,-94.8896316206631,-28.6849403381348,85
58,-178.643549187426,-98.931498826592,-28.6849403381348,85
59,-49.0817346909382,-95.7391384027108,-28.6849403381348,85
60,-37.3448071650791,-94.6292871306102,-28.6849403381348,85
61,-260.618727432336,-101.712858274146,-28.6849403381348,85
62,-95.2035478432421,-102.597535697619,-28.6849403381348,85
63,-145.13725396099,-104.894895089467,-28.6849403381348,85
64,-94.6796708084155,-105.450033300251,-28.6849403381348,85
65,-191.323103836282,-108.316503092965,-28.6849403381348,85
66,-83.1140310327458,-107.377066998918,-28.6849403381348,85
67,-125.441237070459,-109.937605345984,-28.6849403381348,47
68,-102.78933713135,-109.577422558743,-28.6849403381348,85
69,-46.2887677973385,-99.7365919905438,-28.6849403381348,85
70,-122.81600176943,-98.9143417828305,-28.6849403381348,85
71,-230.077141844265,-104.031714605124,-28.6849403381348,85
72,-66.5265563467888,-104.425673528155,-28.6849403381348,85
73,3.53678553956065,-100.670993848664,-28.6849403381348,85
74,-201.990119174013,-106.821609854252,-28.6849403381348,59
75,-88.5094856045617,-108.830805931064,-28.6849403381348,40
76,-49.6467638216438,-108.668757866547,-28.6849403381348,85
77,-181.762240080508,-113.6523866601,-28.6849403381348,79
78,-142.898969439641,-112.995834952639,-37.2333717346191,85
79,-17.7568235083678,-110.649780353752,-37.2333717346191,85
80,-178.897356284041,-112.940101307404,-37.2333717346191,85
81,-235.398536843045,-117.009754442895,-37.2333717346191,85
82,-5.19494404084746,-117.104156846968,-37.2333717346191,85
83,-35.7362387967515,-111.387864431341,-37.2333717346191,85
84,-78.2245639347016,-112.553577601091,-37.2333717346191,85
85,-86.680570994882,-114.527008154283,-37.2333717346191,85
86,-155.595872162078,-110.326093943473,-37.2333717346191,85
87,-191.149901005579,-114.163948069967,-37.2333717346191,85
88,-74.9097546927899,-111.354848099239,-37.2333717346191,85
89,-23.416974427742,-108.504340244012,-37.2333717346191,85
90,-31.4172127822452,-102.10810460185,-37.2333717346191,85
91,-94.9431947820646,-102.581271151823,-37.2333717346191,85
92,-68.2231031081469,-100.29254579333,-37.2333717346191,85
93,-39.1180572192892,-97.745694596848,-37.2333717346191,85
94,-30.1450954276725,-97.0999477020614,-37.2333717346191,85
95,-230.177334115238,-101.394400995894,-37.2333717346191,85
96,-158.174130848487,-98.5182805560626,-37.2333717346191,51
97,-260.127833450565,-106.262331640214,-37.2333717346191,85
98,-61.800766090219,-108.875833705405,-37.2333717346191,85
99,-102.684939192757,-104.903626506155,-37.2333717346191,36
100,-62.1887325201714,-103.850796382779,-37.2333717346191,85
101,-135.090136810555,-107.268531302335,-37.2333717346191,83
102,-91.0297982618556,-103.639233629589,-37.2333717346191,41
103,-20.2694102464015,-98.7340512618597,-37.2333717346191,85
104,-56.2741113147875,-100.274742774117,-41.5521125793457,85
105,-71.5084847661367,-95.9791879134004,-41.5521125793457,85
106,-51.8939478218577,-88.6390043525528,-41.5521125793457,85
107,-85.0265060332049,-91.8322668322472,-41.5521125793457,85
108,-164.30399155775,-96.9749769426871,-41.5521125793457,85
109,-75.9882834226867,-96.8855257222065,-41.5521125793457,85
110,-92.9287827038875,-97.1354541905667,-41.5521125793457,46
111,-68.7767865672467,-93.6626907667735,-41.5521125793457,85
112,-57.0087510792356,-88.2970447697197,-41.5521125793457,85
113,-109.040874163998,-89.662289548568,-41.5521125793457,85
114,-65.2570075017723,-91.3358908715293,-41.5521125793457,85
115,-245.950789776813,-99.917233951312,-41.5521125793457,85
116,-73.2948652452025,-99.0513007698375,-41.5521125793457,85
117,-78.1464376843382,-99.4482341528851,-41.5521125793457,85
118,-95.863288166884,-101.718043390789,-41.5521125793457,85
119,-10.3427078768909,-100.925947888758,-41.5521125793457,85
120,-88.8810803785138,-95.2740977392887,-41.5521125793457,85
121,-61.506125287811,-91.4073775168617,-41.5521125793457,85
122,-79.929913374444,-84.1994607138168,-41.5521125793457,85
123,-71.7370347791009,-84.5969114613721,-41.5521125793457,85
