episode,reward,avg_reward,q0,steps
1,-513.585019874629,-513.585019874629,-3.51672242686618e-05,224
2,-108.939757365388,-311.262388620008,-3.51672242686618e-05,340
3,-290.848302185479,-304.457693141832,-3.51672242686618e-05,340
4,-265.407247296512,-294.695081680502,-3.51672242686618e-05,340
5,-245.029369867766,-284.761939317955,-3.51672242686618e-05,340
6,-201.805001005704,-270.93578293258,-3.51672242686618e-05,340
7,-135.150798290215,-251.53792798367,-3.51672242686618e-05,340
8,-751.554732552572,-314.040028554783,-6.08622932434082,340
9,-178.23518873463,-298.950601908099,-6.08622932434082,340
10,-993.553628251746,-368.410904542464,-6.08622932434082,340
11,-501.366540250434,-380.497780515916,-6.08622932434082,340
12,-685.750337048045,-405.93549356026,-6.08622932434082,340
13,-261.424994023552,-394.819301288206,-6.08622932434082,340
14,-180.966762070377,-379.544119915504,-3.77946019172668,340
15,-367.025568860946,-378.7095498452,-3.77946019172668,340
16,-849.957217105169,-408.162529048948,-3.77946019172668,340
17,-180.080850455295,-394.745959719909,-3.77946019172668,340
18,-461.819351043248,-398.472259237873,-3.77946019172668,194
19,-594.150789419048,-408.771129247408,-3.77946019172668,340
20,-362.084630169389,-406.436804293507,-3.77946019172668,340
21,-271.22177487745,-399.997993368933,2.52344703674316,340
22,-353.730531474211,-397.894926919173,2.52344703674316,340
23,-119.842080942653,-385.805672746281,2.52344703674316,340
24,-543.752641067295,-392.386796426323,2.52344703674316,340
25,-816.705997920109,-409.359564486075,2.52344703674316,340
26,-301.372165817871,-400.871050323804,2.52344703674316,340
27,-207.988453046533,-404.83299815105,12.305513381958,340
28,-281.230172024469,-404.44827294461,12.305513381958,340
29,-296.911020152833,-405.708423858862,12.305513381958,340
30,-72.7616900449175,-398.817716665949,12.305513381958,340
31,-807.057092447323,-423.027800323613,12.305513381958,340
32,-289.87092222067,-429.216605280832,12.305513381958,340
33,-413.933246776456,-415.711745849787,26.0204582214355,340
34,-61.3318449049342,-411.035612096599,26.0204582214355,340
35,-347.442065944985,-385.191149604329,26.0204582214355,340
36,-194.307650950918,-372.908794032348,26.0204582214355,340
37,-59.0041839255876,-347.83894790745,26.0204582214355,340
38,-119.290737232379,-342.153577635803,26.0204582214355,340
39,-218.381224480704,-343.650156132216,38.0026702880859,340
40,-345.986679814941,-342.808600570376,38.0026702880859,340
41,-352.053007818311,-322.892432198901,38.0026702880859,340
42,-168.919786692771,-322.4459896484,38.0026702880859,340
43,-212.489679613297,-312.472802791202,38.0026702880859,340
44,62.7800142334674,-286.195570645102,38.0026702880859,340
45,-303.142799392501,-283.837897414026,43.8631896972656,340
46,-248.203879620013,-282.917181603729,43.8631896972656,340
47,103.559193855432,-264.625592590543,43.8631896972656,340
48,185.921198720271,-252.395061404026,43.8631896972656,340
49,-352.001902492826,-244.725031861047,43.8631896972656,340
50,-333.814318876026,-225.409364699284,43.8631896972656,340
51,-292.976324610176,-225.073531050976,49.2427940368652,340
52,-252.648431745218,-226.859930198923,49.2427940368652,340
53,-226.346796886272,-224.664595193396,49.2427940368652,340
54,-388.583740992901,-228.331504026998,49.2427940368652,340
55,-30.5702245088534,-226.643845405556,49.2427940368652,340
56,-389.457936233377,-209.939879156998,49.2427940368652,340
57,-192.619987978163,-206.049841787298,44.7373580932617,340
58,146.887487862627,-183.617012401734,44.7373580932617,340
59,-452.349192188079,-199.25770629306,44.7373580932617,340
60,-252.886000620146,-195.475463680066,44.7373580932617,340
61,41.7001066301707,-186.035153376823,44.7373580932617,340
62,-126.989095905724,-188.754549856028,44.7373580932617,340
63,-159.655030668549,-190.369121593475,45.4501838684082,340
64,-151.501500835431,-187.693932647664,45.4501838684082,340
65,-293.146475776993,-185.580324486146,45.4501838684082,340
66,29.2858671388178,-170.326769487861,45.4501838684082,340
67,-193.493768368219,-171.309728754879,45.4501838684082,340
