set,draw,agent,train_Hz,run_Hz,base_mass,delay_s,explore,mse_ee,rms_ee,max_ee,completed,stop_reason,t_end,ori_max,w_mean,sat_frac_J2,sat_frac_J4,sat_frac_J6,qlim_frac,ret,matched
nominal_6p5kg,0,ppo_10hz,10,40,6.5,0,0,0.00692043648252265,0.0831891608475686,0.221741098200607,1,none,8.5,0.0206910724408894,0.00663219664009059,0,0,1,0,1206.17531658872,0
nominal_6p5kg,0,ppo_10hz,10,10,6.5,0,0,0.00728160478619112,0.0853323197047351,0.227813131315852,1,none,8.5,0.0271778114502059,0.00866888087303765,0,0,1,0,195.35539732885,1
e1,0,CDR2-4,40,40,16.25,0.05,0,0.00460288939090154,0.0678445973597128,0.192430516341407,1,none,8.5,0.0188379553709039,0.00653741593687935,0,0,1,0,1470.63581141328,1
e1_stoch,1,CDR2-4,40,40,16.25,0.05,1,0.00560219451914154,0.0748478090470359,0.206383227680922,1,none,8.5,0.0211015144317416,0.00796703612614403,0,0.170087976539589,0.958944281524927,0,1191.43632616393,1
e1_stoch,2,CDR2-4,40,40,16.25,0.05,1,0.00514409115620104,0.0717223197909901,0.19799039924216,1,none,8.5,0.0197266370423903,0.00888313431369068,0,0.217008797653959,0.953079178885631,0,1109.0945778721,1
e1_stoch,3,CDR2-4,40,40,16.25,0.05,1,0.00493034548119815,0.0702164188861704,0.197175033157159,1,none,8.5,0.0199079047149939,0.00797166626627306,0,0.181818181818182,0.947214076246334,0,1255.74087506777,1
e1_stoch,4,CDR2-4,40,40,16.25,0.05,1,0.0051235564338421,0.0715790223029213,0.198148044022563,1,none,8.5,0.0236915330285983,0.0083063303339469,0,0.217008797653959,0.932551319648094,0,1152.55594054336,1
e1_stoch,5,CDR2-4,40,40,16.25,0.05,1,0.00549297227949655,0.0741145888438744,0.204105524157213,1,none,8.5,0.0182551894432763,0.00796947131508569,0,0.161290322580645,0.964809384164223,0,1128.51736144411,1
e1_stoch,6,CDR2-4,40,40,16.25,0.05,1,0.00534397033869837,0.0731024646554299,0.200800872876689,1,none,8.5,0.0222537916734019,0.00926525212788117,0.00293255131964809,0.170087976539589,0.906158357771261,0,1116.14405820068,1
e1_stoch,7,CDR2-4,40,40,16.25,0.05,1,0.00499234050897889,0.0706564965801369,0.1967084290521,1,none,8.5,0.0190791179677318,0.00748446959574312,0,0.208211143695015,0.967741935483871,0,1132.35985258001,1
e1_stoch,8,CDR2-4,40,40,16.25,0.05,1,0.00536456779952714,0.0732432099209691,0.20180532140019,1,none,8.5,0.0186680517487336,0.00701362971289903,0,0.19941348973607,0.93841642228739,0,1221.49079040365,1
e1_stoch,9,CDR2-4,40,40,16.25,0.05,1,0.00488776552899188,0.0699125563042282,0.196450408236154,1,none,8.5,0.0207882236507862,0.00809234012991737,0,0.214076246334311,0.944281524926686,0,1208.39724879435,1
e1_stoch,10,CDR2-4,40,40,16.25,0.05,1,0.00443627851127475,0.0666053940103559,0.190020924298987,1,none,8.5,0.0243839061350742,0.00790748312109347,0,0.219941348973607,0.953079178885631,0,1162.10019805975,1
e1_stoch,11,CDR2-4,40,40,16.25,0.05,1,0.00499884722768178,0.0707025263175354,0.200549079685164,1,none,8.5,0.0221230730453534,0.00821899657857149,0,0.219941348973607,0.964809384164223,0,1162.79839743544,1
e1_stoch,12,CDR2-4,40,40,16.25,0.05,1,0.00457703350847245,0.0676537767495093,0.19122954289142,1,none,8.5,0.0215005151122345,0.00900394227728877,0,0.196480938416422,0.956011730205279,0,1077.69641974743,1
e1_stoch,13,CDR2-4,40,40,16.25,0.05,1,0.00500742713735457,0.0707631764221659,0.195739284603261,1,none,8.5,0.0204228292967232,0.00844973535127975,0,0.164222873900293,0.967741935483871,0,1193.83208774512,1
e1_stoch,14,CDR2-4,40,40,16.25,0.05,1,0.00507515509642046,0.0712401227990271,0.197773932505597,1,none,8.5,0.0179966987289823,0.00722941682703893,0,0.143695014662757,0.958944281524927,0,1213.8930408147,1
e1_stoch,15,CDR2-4,40,40,16.25,0.05,1,0.00511290147472357,0.071504555622167,0.198703074210427,1,none,8.5,0.0183767273930369,0.00717751957903988,0,0.178885630498534,0.967741935483871,0,1283.5252893544,1
e1_stoch,16,CDR2-4,40,40,16.25,0.05,1,0.0051991520625739,0.0721051458813717,0.198872215660652,1,none,8.5,0.0209381784222618,0.00892917544357874,0.00293255131964809,0.181818181818182,0.953079178885631,0,1165.97095309831,1
e1_stoch,17,CDR2-4,40,40,16.25,0.05,1,0.00467150660140528,0.0683484206211473,0.195430612630426,1,none,8.5,0.0206861830026073,0.00863510620228199,0,0.211143695014663,0.961876832844575,0,1190.49113448146,1
e1_stoch,18,CDR2-4,40,40,16.25,0.05,1,0.0047834700460622,0.0691626347536168,0.195051556977932,1,none,8.5,0.0241326772457753,0.00897368349006629,0,0.155425219941349,0.970674486803519,0,1169.22787315322,1
e1_stoch,19,CDR2-4,40,40,16.25,0.05,1,0.00503212678099218,0.0709374850202076,0.197887298958414,1,none,8.5,0.0227612780044258,0.00897680319404403,0.00293255131964809,0.193548387096774,0.947214076246334,0,1141.34136230561,1
e1_stoch,20,CDR2-4,40,40,16.25,0.05,1,0.0047487930865873,0.0689114873340236,0.196826975670061,1,none,8.5,0.0202041742779598,0.00794735228472155,0,0.196480938416422,0.958944281524927,0,1261.80598865744,1
mass,6,CDR2-4,40,40,32.5,0,0,0.00399433762220253,0.0632007723228327,0.182828726946088,1,none,8.5,0.016277779219173,0.00488374522031257,0,0,1,0,1513.13635330997,1
mass,11,CDR2-4,40,40,32.5,0,0,0.00399433762220253,0.0632007723228327,0.182828726946088,1,none,8.5,0.016277779219173,0.00488374522031257,0,0,1,0,1513.13635330997,1
mass,20,CDR2-4,40,40,32.5,0,0,0.00399433762220253,0.0632007723228327,0.182828726946088,1,none,8.5,0.016277779219173,0.00488374522031257,0,0,1,0,1513.13635330997,1
mass,6,CDR2-4,40,10,32.5,0,0,0.0045494489653452,0.0674496031518733,0.186941155166755,1,none,8.5,0.0222380269503468,0.00740027144287715,0,0,1,0,318.966952591175,0
mass,11,CDR2-4,40,10,32.5,0,0,0.0045494489653452,0.0674496031518733,0.186941155166755,1,none,8.5,0.0222380269503468,0.00740027144287715,0,0,1,0,318.966952591175,0
mass,20,CDR2-4,40,10,32.5,0,0,0.0045494489653452,0.0674496031518733,0.186941155166755,1,none,8.5,0.0222380269503468,0.00740027144287715,0,0,1,0,318.966952591175,0
mass,6,Optimized,40,40,32.5,0,0,0.00430637853201202,0.0656230030706613,0.188430096641607,1,none,8.5,0.023530962737174,0.00423436711008173,0,0,0.912023460410557,0,1418.76418219535,1
mass,11,Optimized,40,40,32.5,0,0,0.00430637853313487,0.0656230030792166,0.188430096481201,1,none,8.5,0.0235309627836428,0.00423436711579219,0,0,0.912023460410557,0,1418.76418222907,1
mass,20,Optimized,40,40,32.5,0,0,0.00430637853313487,0.0656230030792166,0.188430096481201,1,none,8.5,0.0235309627836428,0.00423436711579219,0,0,0.912023460410557,0,1418.76418222907,1
mass,6,Optimized,40,10,32.5,0,0,0.0052419616980447,0.0724013929288981,0.204393878322806,1,none,8.5,0.0227860696691041,0.00542647626343068,0,0,0.930232558139535,0,295.633162934772,0
mass,11,Optimized,40,10,32.5,0,0,0.0052419616980447,0.0724013929288981,0.204393878322806,1,none,8.5,0.0227860696691041,0.00542647626343068,0,0,0.930232558139535,0,295.633162934772,0
mass,20,Optimized,40,10,32.5,0,0,0.0052419616980447,0.0724013929288981,0.204393878322806,1,none,8.5,0.0227860696691041,0.00542647626343068,0,0,0.930232558139535,0,295.633162934772,0
mass,6,PPO_base,40,40,32.5,0,0,0.000209878509148335,0.0144871843071155,0.0255934848371375,1,none,8.5,0.081296149290234,0.0137968618597729,0.0674486803519062,0.0850439882697947,0.982404692082111,0,1480.53829378117,1
mass,11,PPO_base,40,40,32.5,0,0,0.000209241723447209,0.0144651900591458,0.0258855764538838,1,none,8.5,0.0812366169529448,0.0137899665326511,0.0703812316715543,0.0850439882697947,0.982404692082111,0,1486.53391869965,1
mass,20,PPO_base,40,40,32.5,0,0,0.000209241723447209,0.0144651900591458,0.0258855764538838,1,none,8.5,0.0812366169529448,0.0137899665326511,0.0703812316715543,0.0850439882697947,0.982404692082111,0,1486.53391869965,1
mass,6,PPO_base,40,10,32.5,0,0,0.00163377339553806,0.0404199628344468,0.0557066419496857,1,none,8.5,0.0737142653456885,0.0162566792594759,0.0465116279069767,0.0465116279069767,0.976744186046512,0,76.558431198094,0
mass,11,PPO_base,40,10,32.5,0,0,0.00163377339553806,0.0404199628344468,0.0557066419496857,1,none,8.5,0.0737142653456885,0.0162566792594759,0.0465116279069767,0.0465116279069767,0.976744186046512,0,76.558431198094,0
mass,20,PPO_base,40,10,32.5,0,0,0.00163377339553806,0.0404199628344468,0.0557066419496857,1,none,8.5,0.0737142653456885,0.0162566792594759,0.0465116279069767,0.0465116279069767,0.976744186046512,0,76.558431198094,0
mass,6,ppo_10hz,10,40,32.5,0,0,0.00498573265058554,0.0706097206522271,0.19723157356108,1,none,8.5,0.0146231012267876,0.00446989298188813,0,0,1,0,1498.94801510668,0
mass,11,ppo_10hz,10,40,32.5,0,0,0.00498573265058554,0.0706097206522271,0.19723157356108,1,none,8.5,0.0146231012267876,0.00446989298188813,0,0,1,0,1498.94801510668,0
mass,20,ppo_10hz,10,40,32.5,0,0,0.00498573265058554,0.0706097206522271,0.19723157356108,1,none,8.5,0.0146231012267876,0.00446989298188813,0,0,1,0,1498.94801510668,0
mass,6,ppo_10hz,10,10,32.5,0,0,0.00515597939139405,0.07180514878053,0.201815812977485,1,none,8.5,0.0176268248100596,0.00574444666827491,0,0,1,0,370.261104794362,1
mass,11,ppo_10hz,10,10,32.5,0,0,0.00515597939139405,0.07180514878053,0.201815812977485,1,none,8.5,0.0176268248100596,0.00574444666827491,0,0,1,0,370.261104794362,1
mass,20,ppo_10hz,10,10,32.5,0,0,0.00515597939139405,0.07180514878053,0.201815812977485,1,none,8.5,0.0176268248100596,0.00574444666827491,0,0,1,0,370.261104794362,1
mass,14,CDR2-4,40,40,43.9748009387713,0,0,0.0037550368839599,0.0612783557543763,0.178691664418589,1,none,8.5,0.0147850143649141,0.00430743659097766,0,0,1,0,1528.88531480039,1
