part,agent,train_ms,step_ms,base,ref,obs_v21,scale,slew,hwrun,hw_steps,ood04,ood04_step,ood04_t,mse_ee,max_ee,completed,stop_reason,n_steps,ep_step_rmsdiff_hw
C,PPO_base,25,175,free,sample,0,1,train,,NaN,0,NaN,NaN,0.0125731645141358,0.173474132978715,0,unknown,49,NaN
C,ppo_10hz,100,25,free,wall,0,1,train,,NaN,0,NaN,NaN,0.00431301740616147,0.186643987958745,1,none,341,NaN
C,ppo_10hz,100,25,free,sample,0,1,train,,NaN,0,NaN,NaN,0.0704732487416703,0.345042668355337,1,none,341,NaN
C,ppo_10hz,100,50,free,wall,0,1,train,,NaN,0,NaN,NaN,0.00432047052851357,0.188244627612198,1,none,171,NaN
C,ppo_10hz,100,50,free,sample,0,1,train,,NaN,0,NaN,NaN,0.0402910202955478,0.259375774323352,1,none,171,NaN
C,ppo_10hz,100,75,free,wall,0,1,train,,NaN,0,NaN,NaN,0.00433846067933686,0.189361773814997,1,none,114,NaN
C,ppo_10hz,100,75,free,sample,0,1,train,,NaN,0,NaN,NaN,0.0178701868216911,0.221835888072874,1,none,114,NaN
C,ppo_10hz,100,100,free,wall,0,1,train,,NaN,0,NaN,NaN,0.00438438757365865,0.190026532289763,1,none,86,NaN
C,ppo_10hz,100,100,free,sample,0,1,train,,NaN,0,NaN,NaN,0.00413399733976694,0.190026875152788,1,none,86,NaN
C,ppo_10hz,100,125,free,wall,0,1,train,,NaN,0,NaN,NaN,0.00445833569796332,0.189977125946927,1,none,69,NaN
C,ppo_10hz,100,125,free,sample,0,1,train,,NaN,0,NaN,NaN,0.00120287154074424,0.0687218429653326,1,none,69,NaN
C,ppo_10hz,100,140,free,wall,0,1,train,,NaN,0,NaN,NaN,0.00451555492721493,0.189554827518757,1,none,61,NaN
C,ppo_10hz,100,140,free,sample,0,1,train,,NaN,0,NaN,NaN,0.00229322111847682,0.0729252988458448,1,none,61,NaN
C,ppo_10hz,100,175,free,wall,0,1,train,,NaN,0,NaN,NaN,0.00470948525230156,0.18765957440897,0,unknown,49,NaN
C,ppo_10hz,100,175,free,sample,0,1,train,,NaN,0,NaN,NaN,0.00540802464156516,0.113659300698985,0,unknown,49,NaN
