episode,reward,avg_reward,q0,steps
1,-110.749773012669,-110.749773012669,1.49475072248606e-05,40
2,-91.6042271716797,-101.177000092174,1.49475072248606e-05,85
3,-134.663616602477,-112.339205595609,1.49475072248606e-05,55
4,-58.2380927650813,-98.8139273879768,1.49475072248606e-05,85
5,-100.29075227037,-99.1092923644554,1.49475072248606e-05,85
6,7.39811504330059,-81.358057796496,1.49475072248606e-05,85
7,-47.6897154437536,-76.5482946032471,1.49475072248606e-05,85
8,-83.0562565546134,-77.3617898471679,1.49475072248606e-05,85
9,-41.0910119903042,-73.3317034186275,1.49475072248606e-05,85
10,-35.8019248987398,-69.5787255666387,1.49475072248606e-05,85
11,-225.003113030092,-83.7082153360436,1.49475072248606e-05,85
12,-63.9566369511907,-82.0622504706392,1.49475072248606e-05,85
13,-31.908818119509,-78.2042941359369,1.49475072248606e-05,85
14,-81.4058895160015,-78.4329795202272,1.49475072248606e-05,85
15,-76.8262731566765,-78.3258657626572,1.49475072248606e-05,85
16,-146.849863259021,-82.6086156061799,1.49475072248606e-05,70
17,-49.5303275972836,-80.6628339585978,1.49475072248606e-05,85
18,-108.052262134753,-82.1844688572731,1.49475072248606e-05,60
19,-78.3151181141037,-81.9808188181589,1.49475072248606e-05,85
20,-138.666592015356,-84.8151074780188,1.49475072248606e-05,85
21,4.20013534009368,-80.576286391442,1.49475072248606e-05,85
22,-84.4177240566377,-80.7508971944054,1.49475072248606e-05,85
23,-53.1548069309967,-79.5510671829529,1.49475072248606e-05,85
24,-142.86069395011,-82.1889682982511,1.49475072248606e-05,85
25,-189.599314172182,-86.4853821332083,1.49475072248606e-05,85
26,-34.1238785707454,-83.4203463555314,-17.262601852417,85
27,-181.655480081965,-87.0223964719428,-17.262601852417,85
28,-91.051965139266,-85.2779304134143,-17.262601852417,85
29,-64.3864686651227,-85.523865449416,-17.262601852417,85
30,-66.6358720722662,-84.1776702414919,-17.262601852417,85
31,-200.560874682707,-92.4960298305322,-17.262601852417,85
32,-105.947916897218,-94.8263578886707,-17.262601852417,85
33,-128.890745287969,-96.659737438005,-17.262601852417,85
34,-77.5968690392038,-98.1199717199609,-17.262601852417,85
35,-73.0866122564199,-99.6113592142681,-17.262601852417,85
36,-87.7032691647892,-94.119365459656,-17.262601852417,56
37,-119.661359018422,-96.3475543423452,-17.262601852417,85
38,-80.8012155388078,-98.3032502391172,-17.262601852417,57
39,-83.5294488439494,-98.3881926122351,-17.262601852417,40
40,-65.0910889675946,-97.9187852446719,-17.262601852417,85
41,-106.599933383934,-96.3087880496684,-17.262601852417,47
42,-111.793906812396,-98.7993312182729,-17.262601852417,43
43,-292.309532002308,-106.169622012975,-17.262601852417,85
44,-61.4277783937929,-105.494128424163,-17.262601852417,85
45,-143.372256962262,-105.682355022039,-17.262601852417,85
46,-56.6775832710148,-108.117463766483,-17.262601852417,85
47,-90.3302064477142,-108.353963062126,-17.262601852417,85
48,-102.142821286919,-110.313483636363,-17.262601852417,85
49,-48.2247190343237,-106.528044639732,-17.262601852417,85
50,-38.2795836842502,-100.475255420214,-17.262601852417,85
51,-57.1715202416773,-101.397161087052,-17.262601852417,85
52,-159.312762126157,-100.503452368819,-28.8461284637451,85
53,-53.6979654345882,-99.0092923806322,-28.8461284637451,85
54,-121.639332442736,-101.299406931737,-28.8461284637451,85
55,-133.657208455793,-103.980260387078,-28.8461284637451,60
56,-76.4081884805423,-99.0141529389912,-28.8461284637451,85
57,-208.884985340338,-103.131635676716,-28.8461284637451,85
58,-2.83488393901502,-98.0894012227579,-28.8461284637451,85
59,-18.200356936641,-95.7135407386554,-28.8461284637451,85
60,-64.8286898669348,-95.383223843076,-28.8461284637451,85
61,-115.533688882178,-96.4964406317715,-28.8461284637451,64
62,-132.128562954803,-96.9951287892268,-28.8461284637451,46
63,-102.995492943821,-97.8828998854273,-28.8461284637451,85
64,-92.030603069434,-98.2229460544467,-28.8461284637451,85
65,-91.0109605441173,-99.2597409175077,-28.8461284637451,85
66,-116.436943420781,-99.6532213189815,-28.8461284637451,58
67,-105.17038681715,-99.3882805191717,-28.8461284637451,85
68,-45.656338537847,-89.5221527805932,-28.8461284637451,85
69,-96.6603478773938,-90.9314555599373,-28.8461284637451,85
70,-114.690472829822,-89.7841841946396,-28.8461284637451,44
71,-66.6955413291819,-90.1849025169663,-28.8461284637451,85
72,-75.7099683301523,-89.6000929922639,-28.8461284637451,43
73,-88.3548552988387,-89.0485743527407,-28.8461284637451,40
74,-226.136648446768,-96.1650515292384,-28.8461284637451,85
