set,agent,seed,base_mass,delay_steps,stop_reason,t_end,n_steps,max_ee,rew_step_median,rew_step_min,sim_error
untrained,untrained5,5036,65,0,none,8.5,341,0.472058279951796,-1.15283789021398,-5.13032852858987,
untrained,untrained5,5037,65,0,none,8.5,341,0.409061853667403,-0.47326032034009,-3.96491996761797,
untrained,untrained5,5038,65,0,none,8.5,341,0.4722338388718,-3.59104162734773,-5.12874485932116,
untrained,untrained5,5039,65,0,none,8.5,341,0.4604784036786,-2.6115917840045,-4.90798698743565,
untrained,untrained5,5040,65,0,none,8.5,341,0.394841681405451,-0.728053140502181,-3.74055726731755,
cdr_p4,CDR2-4,83,66.4514054602867,3,none,8.5,341,0.174820115383436,5.63487488856029,1.06321338063702,
cdr_p4,CDR2-4,13,66.6477014787359,3,none,8.5,341,0.178064199575801,5.61673370330228,-0.454321983427566,
cdr_p4,CDR2-4,7,69.3633667665227,2,none,8.5,341,0.175763658074126,5.68223463202484,0.975168288980886,
cdr_p4,CDR2-4,97,69.8624347944196,2,none,8.5,341,0.184357562000581,3.84047565563996,0.936235263084426,
cdr_p4,CDR2-4,26,70.7904451243763,2,none,8.5,341,0.180866583803822,5.66117075862944,0.907419720888998,
cdr_p4,CDR2-4,14,71.0036954617466,2,none,8.5,341,0.178752740650446,5.73380148961976,1.0494483362725,
cdr_p4,CDR2-4,6,71.1080462832428,3,none,8.5,341,0.185046666033438,3.79783663568874,0.80242146162072,
cdr_p4,CDR2-4,96,74.0812528465306,2,none,8.5,341,0.180724336080644,5.64473211980366,-0.372081739036598,
cdr_p4,CDR2-4,78,74.0862367862316,2,none,8.5,341,0.181455559429365,5.6649012555786,0.905570049895182,
cdr_p4,CDR2-4,87,74.7503965901185,2,none,8.5,341,0.178115803670377,5.69300615798591,0.735130769380676,
cdr_p4,CDR2-4,88,75.768972367804,1,none,8.5,341,0.181856843629548,5.69553076575084,0.931046586815124,
cdr_p4,CDR2-4,65,78.9520332721786,1,none,8.5,341,0.179225650863255,5.70354116423509,1.12606107949896,
cdr_p4,CDR2-4,60,80.8584202526017,1,none,8.5,341,0.177729938426567,5.64589790287534,0.985972721479652,
cdr_p4,CDR2-4,22,81.3063106524002,2,none,8.5,341,0.175419557164379,5.69187809675177,1.08039760757643,
cdr_p4,CDR2-4,35,81.4182158403143,1,none,8.5,341,0.174308120697698,5.656855725216,0.996438983659629,
cdr_p4,CDR2-4,85,81.4699847349787,1,none,8.5,341,0.170491118150195,5.72231532181842,1.08825218415414,
cdr_p4,CDR2-4,3,82.5538186500375,1,none,8.5,341,0.175596451189867,5.73022304218899,0.910436251601376,
cdr_p4,CDR2-4,47,84.2836001684021,3,none,8.5,341,0.182622364741773,5.61314992363996,0.946701292618286,
cdr_p4,CDR2-4,56,86.7413971551401,3,none,8.5,341,0.182210957089354,5.66323230745131,0.834066011881745,
cdr_p4,CDR2-4,72,87.9799412984233,1,none,8.5,341,0.176826642392168,5.73633111546631,0.868155462372661,
cdr_p4,CDR2-4,10,88.1419573860386,3,none,8.5,341,0.164087017782647,5.68094289161089,1.08882347851274,
cdr_p4,CDR2-4,15,89.2123637117493,1,none,8.5,341,0.17614049732579,5.70709574223628,1.09033002520111,
cdr_p4,CDR2-4,76,89.2792187509412,3,none,8.5,341,0.180803292554504,3.82070474801715,0.685341604368687,
cdr_p4,CDR2-4,70,90.1538715026885,1,none,8.5,341,0.177796138450089,5.70404642339496,1.0668103398238,
cdr_p4,CDR2-4,25,90.4683614843124,1,none,8.5,341,0.178490501277481,5.73129142328982,1.00991711298283,
cdr_p4,CDR2-4,12,91.8591362305757,3,none,8.5,341,0.168452876779965,3.82692479971608,1.14697183881243,
cdr_p4,CDR2-4,31,91.951803918011,1,none,8.5,341,0.174461096645038,5.70448216314674,1.16917163638948,
cdr_p4,CDR2-4,41,93.069381628261,3,none,8.5,341,0.174443817660965,5.6048780090215,0.775880457646568,
cdr_p4,CDR2-4,42,93.1758288604889,2,none,8.5,341,0.175637599878494,5.58856118503832,0.970788002095982,
cdr_p4,CDR2-4,34,94.056108897698,2,none,8.5,341,0.170774785258397,5.7300141675423,0.830671079647794,
cdr_p4,CDR2-4,23,98.0296824818222,2,none,8.5,341,0.176623513521368,5.67214458277156,0.980471216739742,
cdr_p4,CDR2-4,51,99.0449522324676,1,none,8.5,341,0.174910310946972,5.73493192660754,1.08242697612718,
cdr_p4,CDR2-4,24,99.8896791601143,1,none,8.5,341,0.169887530804574,5.6977920605212,1.08539186383841,
cdr_p4,CDR2-4,81,103.574334988201,1,none,8.5,341,0.172447097031558,5.72994886484054,1.15247797395629,
cdr_p4,CDR2-4,36,104.590658961049,2,none,8.5,341,0.174421260096685,5.71658719528095,0.937470559691525,
cdr_p4,CDR2-4,20,105.160472895344,1,none,8.5,341,0.171530339221294,5.73004068995091,0.903884552348695,
cdr_p4,CDR2-4,17,105.40238644561,1,none,8.5,341,0.170756977757888,5.76498273000318,0.887853502247088,
cdr_p4,CDR2-4,28,105.627791231841,1,none,8.5,341,0.172767732855659,5.73151517778083,1.15777481575567,
cdr_p4,CDR2-4,90,108.153619098948,3,none,8.5,341,0.172695084179303,5.61872156302273,0.866073307876451,
cdr_p4,CDR2-4,95,108.800157271959,1,none,8.5,341,0.165410173845813,5.69871354660024,1.04820622172469,
cdr_p4,CDR2-4,69,109.936582990424,1,none,8.5,341,0.168234205761417,5.74713247602673,1.09939344295607,
cdr_p4,CDR2-4,59,112.66263234302,1,none,8.5,341,0.181042395512929,5.646117894341,0.96109879581436,
cdr_p4,CDR2-4,61,113.008049607945,3,none,8.5,341,0.175997520169235,5.70565741173348,1.09737615374162,
cdr_p4,CDR2-4,86,117.815320709663,1,none,8.5,341,0.172359946972073,5.7387955718599,0.928830683401987,
cdr_p4,CDR2-4,99,118.227865236801,2,none,8.5,341,0.170580694442609,5.67012945454052,1.10295073373937,
cdr_p4,CDR2-4,50,118.515426353597,2,none,8.5,341,0.185757498500669,5.67093029541562,1.10192368731962,
cdr_p4,CDR2-4,44,119.053178753428,3,none,8.5,341,0.180098346300158,5.71423415324037,0.967054864421983,
cdr_p4,CDR2-4,68,130.907641163863,2,none,8.5,341,0.166710753661012,5.74407119854219,1.13998303041062,
cdr_p4,CDR2-4,32,132.554205756876,1,none,8.5,341,0.168239667281092,5.69402697536557,1.0700308864443,
cdr_p4,CDR2-4,19,133.889242451955,2,none,8.5,341,0.171938977655631,5.71084002739581,1.0796764927584,
cdr_p4,CDR2-4,63,134.541400038951,2,none,8.5,341,0.176906884475543,5.66995221738738,1.01067610550586,
cdr_p4,CDR2-4,62,139.658751445842,1,none,8.5,341,0.174989068536919,5.71238510997232,1.11797695739347,
cdr_p4,CDR2-4,37,154.680139205796,1,none,8.5,341,0.155152225435495,5.74495223696103,1.22060346354952,
cdr_p4,CDR2-4,1,157.64932394071,1,none,8.5,341,0.184178335376173,5.72118648811812,0.965294444887358,
cdr_p4,CDR2-4,16,172.270468351813,3,none,8.5,341,0.17390620659886,5.67069508171826,0.963083809585213,
