a,b,max_dep,d_mse_rel,d_ret
A_orig40,A_desk40,9.97956605717509e-10,-1.86115464345461e-10,4.27285158366431e-08
B_origCDR,B_deskCDR,0,0,0
C_orig10,C_desk10,4.05831492111484e-09,3.84340057885083e-09,-1517.74745065547
A_desk40,D_desk40_rep,0,0,0
C_desk10,E_desk10_5ms,0.000156445779811304,-0.00579367781664143,0.00215485202966192
A_desk40,F_desk40_fixed,0.0232111344808986,-0.295922263736974,76.3872317915686
A_desk40,G_desk40_stoch,0.0245684620306544,0.298842117063004,-143.959137930039
C_desk10,H_desk10_6p5kg,0.0404656150389455,0.658072253563978,-185.329817937456
