agent,rate_Hz,mse_free,mse_fixed,mse_change,max_free,max_fixed,ori_max_free,w_mean_free,base_disp_free,ori_max_fixed,a_raw_rms_diff,completed_free,completed_fixed
CDR2-4,40,0.00346982044397274,0.00244302332297681,-0.295922263868013,0.173520615807369,0.152019912535944,0.0124900923728318,0.00354330730923202,NaN,1.56325771121877e-09,0.00728564122824613,1,1
CDR2-4,10,0.0040416425367899,0.00319913085264613,-0.208457743720439,0.177326158603628,0.155889589157783,0.0155723268681202,0.0052881624108206,NaN,1.78059557576248e-09,0.0091739772430924,1,1
Optimized,40,0.00357216048362149,0.00212340826324634,-0.405567506560174,0.17613428304669,0.14526650245346,0.0178917380228122,0.00312937264716772,NaN,2.28508773575227e-09,0.00514993436519672,1,1
Optimized,10,0.00449193034739195,0.0029011050392384,-0.354151820069338,0.193521471310286,0.165517492069186,0.0173581881241249,0.0039834756699345,NaN,2.21378821216503e-09,0.00768567368487392,1,1
PPO_base,40,0.000106685259710893,0.000329322278662587,2.08685829284214,0.0181613708177565,0.041319156234881,0.0561770867871069,0.00944945801500157,NaN,5.68553427588866e-09,0.501033881502757,1,1
PPO_base,10,0.00127108821680606,0.00111984036258788,-0.118990839674545,0.0449618553151863,0.0511869149796374,0.0505977948923911,0.0110824839992422,NaN,5.20546229130763e-09,0.233036312672559,1,1
ppo_10hz,40,0.00431301740616147,0.00306551592430453,-0.28924100331123,0.186643987958745,0.163196249511777,0.0111112074582459,0.00326715164477794,NaN,1.37790568302517e-09,0.0120382894094366,1,1
ppo_10hz,10,0.00438438757365865,0.00297551211815097,-0.321339168090931,0.190026532289763,0.163128415735057,0.0132863491522225,0.00418772938254014,NaN,1.63945778401177e-09,0.0124895253148015,1,1
