key,value,unit,files,note
G5_10Hz_V23_17s.rms_max,0.053645,m,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,completed runs
G5_10Hz_V23_17s.max_min,0.153667,m,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,completed runs
G5_10Hz_V23_17s.max_max,0.157559,m,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,completed runs
G5_10Hz_V23_17s.rms_mean,0.0527135,m,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,completed runs
G5_10Hz_V23_17s.rms_sd,0.000912214,m,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,completed runs
G5_10Hz_V23_17s.max_mean,0.156478,m,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,completed runs
G5_10Hz_V23_17s.max_sd,0.00160105,m,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,completed runs
G5_10Hz_V23_17s.loop_ms_min,166.01,ms,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,mean loop time per run
G5_10Hz_V23_17s.loop_ms_max,181.229,ms,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,mean loop time per run
G5_10Hz_V23_17s.eff_completed_min,0.35,,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,
G5_10Hz_V23_17s.eff_completed_max,0.35,,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,
G6_10Hz_V23_16s.runs,1,,deploy_logs/run_014_agent_train_seed6.mat,
G6_10Hz_V23_16s.completed,0,,deploy_logs/run_014_agent_train_seed6.mat,
G6_10Hz_V23_16s.eff_min,0.852453,,deploy_logs/run_014_agent_train_seed6.mat,
G6_10Hz_V23_16s.eff_max,0.852453,,deploy_logs/run_014_agent_train_seed6.mat,
G6_10Hz_V23_16s.steps_min,18,,deploy_logs/run_014_agent_train_seed6.mat,
G6_10Hz_V23_16s.steps_max,18,,deploy_logs/run_014_agent_train_seed6.mat,
G6_10Hz_V23_16s.rms_min,0.216853,m,deploy_logs/run_014_agent_train_seed6.mat,all runs until the stop
G6_10Hz_V23_16s.rms_max,0.216853,m,deploy_logs/run_014_agent_train_seed6.mat,all runs until the stop
G6_10Hz_V23_16s.max_min,0.389243,m,deploy_logs/run_014_agent_train_seed6.mat,all runs until the stop
G6_10Hz_V23_16s.max_max,0.389243,m,deploy_logs/run_014_agent_train_seed6.mat,all runs until the stop
G6_10Hz_V23_16s.loop_ms_min,117.26,ms,deploy_logs/run_014_agent_train_seed6.mat,mean loop time per run
G6_10Hz_V23_16s.loop_ms_max,117.26,ms,deploy_logs/run_014_agent_train_seed6.mat,mean loop time per run
G3.stopped_eff_le_0.45,"0.30, 0.40, 0.45",,laptop_backup/runs/run_008_agent_train_seed10.mat;laptop_backup/runs/run_010_agent_train_seed10.mat;laptop_backup/runs/run_011_agent_train_seed10.mat;laptop_backup/runs/run_018_agent_train_seed11.mat;laptop_backup/runs/run_019_agent_train_seed11.mat;laptop_backup/runs/run_020_agent_train_seed11.mat;laptop_backup/runs/run_021_agent_train_seed11.mat;laptop_backup/runs/run_026_agent_train_seed11.mat;laptop_backup/runs/run_027_agent_train_seed11.mat;laptop_backup/runs/run_028_agent_train_seed11.mat,factors of stopped runs with factor <= 0.45
G3.stopped_eff_1.0_steps,27,steps,laptop_backup/runs/run_010_agent_train_seed10.mat,
stopped.runs,22,,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat;deploy_logs/run_014_agent_train_seed6.mat;laptop_backup/runs/run_008_agent_train_seed10.mat;laptop_backup/runs/run_010_agent_train_seed10.mat;laptop_backup/runs/run_011_agent_train_seed10.mat;laptop_backup/runs/run_018_agent_train_seed11.mat;laptop_backup/runs/run_019_agent_train_seed11.mat;laptop_backup/runs/run_020_agent_train_seed11.mat;laptop_backup/runs/run_021_agent_train_seed11.mat;laptop_backup/runs/run_026_agent_train_seed11.mat;laptop_backup/runs/run_027_agent_train_seed11.mat;laptop_backup/runs/run_028_agent_train_seed11.mat;laptop_backup/runs/run_031_agent_train_seed11.mat;laptop_backup/runs/run_032_agent_train_seed11.mat;laptop_backup/runs/run_033_agent_train_seed11.mat;laptop_backup/runs/run_034_agent_train_seed11.mat,all runs that did not complete
stopped.max_min,0.367454,m,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat;deploy_logs/run_014_agent_train_seed6.mat;laptop_backup/runs/run_008_agent_train_seed10.mat;laptop_backup/runs/run_010_agent_train_seed10.mat;laptop_backup/runs/run_011_agent_train_seed10.mat;laptop_backup/runs/run_018_agent_train_seed11.mat;laptop_backup/runs/run_019_agent_train_seed11.mat;laptop_backup/runs/run_020_agent_train_seed11.mat;laptop_backup/runs/run_021_agent_train_seed11.mat;laptop_backup/runs/run_026_agent_train_seed11.mat;laptop_backup/runs/run_027_agent_train_seed11.mat;laptop_backup/runs/run_028_agent_train_seed11.mat;laptop_backup/runs/run_031_agent_train_seed11.mat;laptop_backup/runs/run_032_agent_train_seed11.mat;laptop_backup/runs/run_033_agent_train_seed11.mat;laptop_backup/runs/run_034_agent_train_seed11.mat,"largest logged error per stopped run, OOD limit 0.4 m, stop step not logged"
stopped.max_max,0.39898,m,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat;deploy_logs/run_014_agent_train_seed6.mat;laptop_backup/runs/run_008_agent_train_seed10.mat;laptop_backup/runs/run_010_agent_train_seed10.mat;laptop_backup/runs/run_011_agent_train_seed10.mat;laptop_backup/runs/run_018_agent_train_seed11.mat;laptop_backup/runs/run_019_agent_train_seed11.mat;laptop_backup/runs/run_020_agent_train_seed11.mat;laptop_backup/runs/run_021_agent_train_seed11.mat;laptop_backup/runs/run_026_agent_train_seed11.mat;laptop_backup/runs/run_027_agent_train_seed11.mat;laptop_backup/runs/run_028_agent_train_seed11.mat;laptop_backup/runs/run_031_agent_train_seed11.mat;laptop_backup/runs/run_032_agent_train_seed11.mat;laptop_backup/runs/run_033_agent_train_seed11.mat;laptop_backup/runs/run_034_agent_train_seed11.mat,
G6.steps,18,steps,deploy_logs/run_014_agent_train_seed6.mat,run with factor 0.85
V22.loop_ms_sorted,"103, 103, 103, 103, 104, 104, 105, 105, 105, 106, 106, 107, 107, 108, 108, 108, 109, 109, 112, 113, 116, 117, 154, 169",ms,deploy_logs/run_012_agent_train_seed10_okay.mat;laptop_backup/runs/run_008_agent_train_seed10.mat;laptop_backup/runs/run_009_agent_train_seed10.mat;laptop_backup/runs/run_010_agent_train_seed10.mat;laptop_backup/runs/run_011_agent_train_seed10.mat;laptop_backup/runs/run_013_agent_train_seed11.mat;laptop_backup/runs/run_014_agent_train_seed11.mat;laptop_backup/runs/run_015_agent_train_seed11.mat;laptop_backup/runs/run_016_agent_train_seed11.mat;laptop_backup/runs/run_017_agent_train_seed11.mat;laptop_backup/runs/run_018_agent_train_seed11.mat;laptop_backup/runs/run_019_agent_train_seed11.mat;laptop_backup/runs/run_020_agent_train_seed11.mat;laptop_backup/runs/run_021_agent_train_seed11.mat;laptop_backup/runs/run_022_agent_train_seed11.mat;laptop_backup/runs/run_026_agent_train_seed11.mat;laptop_backup/runs/run_027_agent_train_seed11.mat;laptop_backup/runs/run_028_agent_train_seed11.mat;laptop_backup/runs/run_029_agent_train_seed11.mat;laptop_backup/runs/run_030_agent_train_seed11.mat;laptop_backup/runs/run_031_agent_train_seed11.mat;laptop_backup/runs/run_032_agent_train_seed11.mat;laptop_backup/runs/run_033_agent_train_seed11.mat;laptop_backup/runs/run_034_agent_train_seed11.mat,mean loop time per V2.2 run of the 10 Hz agent
G5.rms_ci95_halfwidth,0.00113266,m,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,"t distribution, 4 dof"
G5.phase_end_min,0.99146,,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,last wall time / path duration
G5.loop_ms_mean,174.091,ms,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,
G5.loop_rate_hz,5.74411,Hz,runs/run_074_agent_train_seed11.mat;runs/run_075_agent_train_seed11.mat;runs/run_076_agent_train_seed11.mat;runs/run_077_agent_train_seed11.mat;runs/run_078_agent_train_seed11.mat,
SP071.d0,0.55807,mm,runs/run_071_agent_p2p_seed1.mat,
SP071.final,0.314906,mm,runs/run_071_agent_p2p_seed1.mat,
SP071.closest,0.171443,mm,runs/run_071_agent_p2p_seed1.mat,
SP071.settle,nan,s,runs/run_071_agent_p2p_seed1.mat,
SP071.pathEff,0.706116,,runs/run_071_agent_p2p_seed1.mat,
SP071.overshoot,0,mm,runs/run_071_agent_p2p_seed1.mat,
SP071.duration,0.446301,s,runs/run_071_agent_p2p_seed1.mat,
SP071.scale,0.5,,runs/run_071_agent_p2p_seed1.mat,
SP071.j6_frac_zone,0,,runs/run_071_agent_p2p_seed1.mat,
SP071.j6_max,55.0721,deg,runs/run_071_agent_p2p_seed1.mat,
SP071.j4_min,-130.003,deg,runs/run_071_agent_p2p_seed1.mat,
SP071.j4_end,-129.926,deg,runs/run_071_agent_p2p_seed1.mat,
SP071.success,True,,runs/run_071_agent_p2p_seed1.mat,
SP073.d0,172.882,mm,runs/run_073_agent_p2p_seed1.mat,
SP073.final,17.1854,mm,runs/run_073_agent_p2p_seed1.mat,
SP073.closest,17.1854,mm,runs/run_073_agent_p2p_seed1.mat,
SP073.settle,7.98655,s,runs/run_073_agent_p2p_seed1.mat,
SP073.pathEff,0.741443,,runs/run_073_agent_p2p_seed1.mat,
SP073.overshoot,0,mm,runs/run_073_agent_p2p_seed1.mat,
SP073.duration,21.4344,s,runs/run_073_agent_p2p_seed1.mat,
SP073.scale,0.5,,runs/run_073_agent_p2p_seed1.mat,
SP073.j6_frac_zone,0.211055,,runs/run_073_agent_p2p_seed1.mat,
SP073.j6_max,113.358,deg,runs/run_073_agent_p2p_seed1.mat,
SP073.j4_min,-147.829,deg,runs/run_073_agent_p2p_seed1.mat,
SP073.j4_end,-147.825,deg,runs/run_073_agent_p2p_seed1.mat,
SP073.success,True,,runs/run_073_agent_p2p_seed1.mat,
SP068.d0,260.186,mm,runs/run_068_agent_p2p_seed1.mat,
SP068.final,15.5668,mm,runs/run_068_agent_p2p_seed1.mat,
SP068.closest,15.5668,mm,runs/run_068_agent_p2p_seed1.mat,
SP068.settle,3.07275,s,runs/run_068_agent_p2p_seed1.mat,
SP068.pathEff,0.984777,,runs/run_068_agent_p2p_seed1.mat,
SP068.overshoot,0,mm,runs/run_068_agent_p2p_seed1.mat,
SP068.duration,5.6715,s,runs/run_068_agent_p2p_seed1.mat,
SP068.scale,0.5,,runs/run_068_agent_p2p_seed1.mat,
SP068.j6_frac_zone,0,,runs/run_068_agent_p2p_seed1.mat,
SP068.j6_max,62.0435,deg,runs/run_068_agent_p2p_seed1.mat,
SP068.j4_min,-130.003,deg,runs/run_068_agent_p2p_seed1.mat,
SP068.j4_end,-124.145,deg,runs/run_068_agent_p2p_seed1.mat,
SP068.success,True,,runs/run_068_agent_p2p_seed1.mat,
SP069.d0,656.985,mm,runs/run_069_agent_p2p_seed1.mat,
SP069.final,41.7013,mm,runs/run_069_agent_p2p_seed1.mat,
SP069.closest,22.8292,mm,runs/run_069_agent_p2p_seed1.mat,
SP069.settle,6.86058,s,runs/run_069_agent_p2p_seed1.mat,
SP069.pathEff,0.802653,,runs/run_069_agent_p2p_seed1.mat,
SP069.overshoot,0,mm,runs/run_069_agent_p2p_seed1.mat,
SP069.duration,59.9284,s,runs/run_069_agent_p2p_seed1.mat,
SP069.scale,0.5,,runs/run_069_agent_p2p_seed1.mat,
SP069.j6_frac_zone,0.913189,,runs/run_069_agent_p2p_seed1.mat,
SP069.j6_max,115.161,deg,runs/run_069_agent_p2p_seed1.mat,
SP069.j4_min,-101.044,deg,runs/run_069_agent_p2p_seed1.mat,
SP069.j4_end,-79.3791,deg,runs/run_069_agent_p2p_seed1.mat,
SP069.success,True,,runs/run_069_agent_p2p_seed1.mat,
SP070.d0,1128.46,mm,runs/run_070_agent_p2p_seed1.mat,
SP070.final,62.9433,mm,runs/run_070_agent_p2p_seed1.mat,
SP070.closest,47.3668,mm,runs/run_070_agent_p2p_seed1.mat,
SP070.settle,19.5658,s,runs/run_070_agent_p2p_seed1.mat,
SP070.pathEff,0.651617,,runs/run_070_agent_p2p_seed1.mat,
SP070.overshoot,12.9433,mm,runs/run_070_agent_p2p_seed1.mat,
SP070.duration,59.996,s,runs/run_070_agent_p2p_seed1.mat,
SP070.scale,0.75,,runs/run_070_agent_p2p_seed1.mat,
SP070.j6_frac_zone,0.907547,,runs/run_070_agent_p2p_seed1.mat,
SP070.j6_max,115.162,deg,runs/run_070_agent_p2p_seed1.mat,
SP070.j4_min,-144.592,deg,runs/run_070_agent_p2p_seed1.mat,
SP070.j4_end,-79.0361,deg,runs/run_070_agent_p2p_seed1.mat,
SP070.success,False,,runs/run_070_agent_p2p_seed1.mat,
SP072.d0,1158.43,mm,runs/run_072_agent_p2p_seed1.mat,
SP072.final,773.633,mm,runs/run_072_agent_p2p_seed1.mat,
SP072.closest,773.414,mm,runs/run_072_agent_p2p_seed1.mat,
SP072.settle,nan,s,runs/run_072_agent_p2p_seed1.mat,
SP072.pathEff,1,,runs/run_072_agent_p2p_seed1.mat,
SP072.overshoot,0,mm,runs/run_072_agent_p2p_seed1.mat,
SP072.duration,8.27294,s,runs/run_072_agent_p2p_seed1.mat,
SP072.scale,0.5,,runs/run_072_agent_p2p_seed1.mat,
SP072.j6_frac_zone,0.285714,,runs/run_072_agent_p2p_seed1.mat,
SP072.j6_max,114.376,deg,runs/run_072_agent_p2p_seed1.mat,
SP072.j4_min,-147.888,deg,runs/run_072_agent_p2p_seed1.mat,
SP072.j4_end,-147.828,deg,runs/run_072_agent_p2p_seed1.mat,
SP072.success,False,,runs/run_072_agent_p2p_seed1.mat,
SP.mean_final,151.891,mm,runs/run_071_agent_p2p_seed1.mat;runs/run_073_agent_p2p_seed1.mat;runs/run_068_agent_p2p_seed1.mat;runs/run_069_agent_p2p_seed1.mat;runs/run_070_agent_p2p_seed1.mat;runs/run_072_agent_p2p_seed1.mat,
SP.mean_closest,146.089,mm,runs/run_071_agent_p2p_seed1.mat;runs/run_073_agent_p2p_seed1.mat;runs/run_068_agent_p2p_seed1.mat;runs/run_069_agent_p2p_seed1.mat;runs/run_070_agent_p2p_seed1.mat;runs/run_072_agent_p2p_seed1.mat,
SP.successes,4/6,,runs/run_071_agent_p2p_seed1.mat;runs/run_073_agent_p2p_seed1.mat;runs/run_068_agent_p2p_seed1.mat;runs/run_069_agent_p2p_seed1.mat;runs/run_070_agent_p2p_seed1.mat;runs/run_072_agent_p2p_seed1.mat,
SP.mean_final_successes,18.6921,mm,runs/run_071_agent_p2p_seed1.mat;runs/run_073_agent_p2p_seed1.mat;runs/run_068_agent_p2p_seed1.mat;runs/run_069_agent_p2p_seed1.mat;runs/run_070_agent_p2p_seed1.mat;runs/run_072_agent_p2p_seed1.mat,
SP.final_successes_range,0.3-41.7,mm,runs/run_071_agent_p2p_seed1.mat;runs/run_073_agent_p2p_seed1.mat;runs/run_068_agent_p2p_seed1.mat;runs/run_069_agent_p2p_seed1.mat;runs/run_070_agent_p2p_seed1.mat;runs/run_072_agent_p2p_seed1.mat,
SP.settle_successes_range,3.1-8.0,s,runs/run_071_agent_p2p_seed1.mat;runs/run_073_agent_p2p_seed1.mat;runs/run_068_agent_p2p_seed1.mat;runs/run_069_agent_p2p_seed1.mat;runs/run_070_agent_p2p_seed1.mat;runs/run_072_agent_p2p_seed1.mat,run 071 has no settling time (4 steps)
SP.mean_pathEff,0.814434,,runs/run_071_agent_p2p_seed1.mat;runs/run_073_agent_p2p_seed1.mat;runs/run_068_agent_p2p_seed1.mat;runs/run_069_agent_p2p_seed1.mat;runs/run_070_agent_p2p_seed1.mat;runs/run_072_agent_p2p_seed1.mat,
SP.mean_overshoot,2.15722,mm,runs/run_071_agent_p2p_seed1.mat;runs/run_073_agent_p2p_seed1.mat;runs/run_068_agent_p2p_seed1.mat;runs/run_069_agent_p2p_seed1.mat;runs/run_070_agent_p2p_seed1.mat;runs/run_072_agent_p2p_seed1.mat,
SP.d0_max_success,656.985,mm,runs/run_071_agent_p2p_seed1.mat;runs/run_073_agent_p2p_seed1.mat;runs/run_068_agent_p2p_seed1.mat;runs/run_069_agent_p2p_seed1.mat;runs/run_070_agent_p2p_seed1.mat;runs/run_072_agent_p2p_seed1.mat,
